@relation .\arff\sample03.arff

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
-1.63, 0.12, -0.25, 82.49, -215, -184.56, 1.65342, 295.114, 2, 482.05, 75.5225
-0.67, 1.61, 1.09, -112.41, -156.32, 205.5, 2.05648, 281.606, 2.685, 478.14, 84.8364
0.27, 0.18, -0.2, -112.57, -19.82, 86.66, 0.381182, 143.439, 2.00667, 391.777, 78.463
-0.15, -0.15, -0.35, -223.27, 7.25, 42.59, 0.409268, 227.411, 1.6675, 362.11, 69.5127
-0.62, -0.9, 1.38, 1.11, -250, 179.95, 1.76034, 308.031, 1.914, 375.9, 67.6663
1.46, -0.39, -0.35, 122.86, 249.99, 5.64, 1.55119, 278.606, 1.96167, 376.332, 69.5127
0.04, 0.37, 0.56, 37.03, 249.99, 143.69, 0.672384, 290.711, 1.82, 384.1, 55.9442
-1.19, 0.49, 2, 38.99, 127.4, 84.8, 2.37828, 157.93, 2.0525, 367.486, 0
-0.05, 0.11, 0.37, -105.47, -250, -138.65, 0.38923, 304.709, 1.88333, 381.557, 68.2844
0.55, 0.37, -0.63, -87.89, -149.78, -114.18, 0.914494, 207.836, 1.85, 378.586, 50.9499
0.87, -0.5, 1.62, 18.84, 197.07, 71.28, 1.9056, 210.41, 1.95364, 370.277, 51.6839
1.15, -0.83, 0.85, -102.8, 87.59, -106.18, 1.65345, 171.797, 2.02667, 364.135, 31.7883
-0.04, 0.09, -0.18, -113.69, 249.99, -151.31, 0.205183, 313.552, 1.89462, 375.739, 79.6302
-0.94, -0.47, 2, -19.65, 249.99, -136.05, 2.25931, 285.291, 2.00286, 377.879, 0
-0.77, -1.32, 2, 249.99, -250, -250, 2.517, 433.007, 2.142, 402.686, 0
0.62, 0.77, 0.3, 86.01, -250, -176.25, 1.0331, 317.745, 2.11375, 409.534, 72.5424
0.77, 0.73, -0.64, -160.08, 61.92, 46.42, 1.23911, 177.805, 2.11529, 401.234, 50.2082
0.74, -0.96, 1.8, -52.18, 136.79, -21.48, 2.17007, 147.972, 2.19222, 390.634, 36.8699
0.56, -0.81, 1.16, -113.83, 49.55, -182.59, 1.52161, 220.798, 2.21, 388.284, 80.7931
0.15, -0.02, 0.18, -84.97, 117.04, -103.39, 0.23516, 177.786, 2.117, 384.139, 79.6302
-0.36, -0.03, 0.2, 2.63, 249.99, -94.69, 0.412916, 267.335, 2.04429, 382.386, 78.463
-0.39, -1.12, 1.28, 249.99, -56.28, -249.51, 1.74496, 357.656, 2.07818, 390.267, 73.7398
-0.24, -0.28, 0.88, 194.56, -113.01, -108.79, 0.954149, 249.92, 2.0487, 391.402, 28.3576
0.18, 0.97, 0.32, -43.29, -250, 13.56, 1.03716, 254.082, 2.02458, 387.879, 71.3371
1.1, 0.22, 1.62, 34.9, -49.35, 39.68, 1.97048, 72.3045, 2.0612, 377.321, 51.6839
0.58, -0.53, 1.32, -62.58, 171.73, -23.3, 1.53613, 184.256, 2.07538, 372.717, 71.3371
-0.34, 0.01, 0.19, -73.14, 249.99, -58.43, 0.389615, 266.943, 2.01852, 373.044, 79.0472
-0.94, -0.65, 1.96, 154.03, -165.21, -115.66, 2.26885, 253.765, 2.07321, 375.253, 16.2602
0.17, -0.21, 1.89, -40.14, -147.62, -29.84, 1.90921, 155.863, 2.08, 369.817, 27.1268
0.09, 0.28, 0.28, -148.56, -135.54, -27.95, 0.406079, 203.033, 2.03233, 367.891, 73.7398
0.18, -0.04, -0.13, -149.12, -2.72, 9.41, 0.22561, 149.441, 1.97733, 357.198, 82.5304
0.6, -0.85, 1.26, 139.16, -250, -24.1, 1.63404, 287.135, 1.95533, 355.166, 74.9299
0.87, -0.65, 1.81, 249.99, -95.78, -7.9, 2.11081, 267.827, 2.04467, 359.653, 35.9041
0.3, 0.18, 1.32, 9.4, 124.98, 45.7, 1.36558, 133.405, 2.083, 356.552, 71.3371
-0.14, 0.59, 0.18, -72.07, 249.99, 119.11, 0.632535, 286.14, 2.01667, 356.889, 79.6302
-0.26, -0.02, 0.13, -123.12, 249.99, -36.9, 0.291376, 281.096, 1.957, 357.94, 82.5304
-0.9, -0.38, 1.81, 52.53, -124.37, -91.29, 2.05682, 162.976, 2.02767, 352.522, 35.9041
-0.77, -0.7, 1.93, 159.9, -250, -123.76, 2.19267, 321.535, 2.01833, 361.938, 21.5652
0.16, 0.63, 0.73, -129.87, -184.84, -66.31, 0.977446, 235.434, 2.05133, 358.168, 43.1136
0.45, -0, 0.22, -152.74, -175.84, 100, 0.500899, 253.474, 2.022, 360.726, 77.291
1.26, -1.02, 0.02, 25.38, -52.47, -74.05, 1.62123, 94.2372, 1.999, 356.216, 88.854
0.57, -0.66, 0.71, 67.17, 71.4, 10.73, 1.12454, 98.6149, 1.96933, 351.307, 44.7651
0.11, 0.02, 0.78, -42.48, 185.99, 100.86, 0.787972, 215.8, 1.98933, 345.118, 38.7394
0.26, 0.27, 0.12, -101.38, 249.99, 61.91, 0.393573, 276.777, 1.89733, 345.371, 83.1079
-0.85, -0.59, 0.78, 20.05, 249.99, -67.64, 1.29576, 259.754, 1.835, 331.628, 38.7394
-0.92, -1.2, 1.04, 190.54, -24.61, -105.93, 1.83521, 219.391, 1.884, 325.255, 87.7076
-0.88, -0.43, 1.7, 211.27, -218.98, -66.3, 1.96196, 311.421, 1.913, 332.859, 45.573
-0.01, 0.74, 0.95, -88.37, -176.93, -31.47, 1.20424, 200.259, 1.853, 335.737, 18.1949
0.15, 0.15, 0.75, -113.2, -208.47, -34.77, 0.779423, 239.756, 1.80367, 336.086, 41.4096
0.83, -0.23, 0.33, -61.34, -250, -25.81, 0.922334, 258.706, 1.83833, 337.144, 70.7312
0.84, -0.43, 0.38, 21.33, 62.42, 29.77, 1.0173, 72.3704, 1.87367, 329.351, 67.6663
0.64, -0.74, 0.72, 207.44, 178.91, 54.03, 1.21474, 279.212, 1.85067, 325.504, 43.9455
-0.34, 0.37, 1.19, -76.1, 109.06, 60.39, 1.29174, 146.056, 1.86733, 319.811, 79.0472
-0.17, -0.08, 0.48, -125.4, 151.99, -71.76, 0.515461, 209.704, 1.84267, 321.221, 61.3146
-0.44, -0.58, 0.69, -38.37, 181.64, -95.57, 1.00305, 208.804, 1.80167, 327.609, 46.3699
-0.35, -0.96, 1.01, 161.45, -84.18, -110.6, 1.43673, 213.037, 1.798, 330.896, 89.427
-0.26, -0.61, 1.09, 238.98, -108.28, -23.97, 1.27585, 263.459, 1.84533, 330.552, 84.8364
-0.29, 0.86, 0.92, -40.82, -219.12, -46.1, 1.29232, 227.607, 1.796, 326.257, 23.0739
0.84, 0.32, 0.77, -21.51, -250, 26.07, 1.1836, 252.274, 1.78467, 328.923, 39.6461
0.85, -0.24, 0.58, 22.38, 98.19, 100.8, 1.05665, 142.488, 1.81867, 325.9, 54.5495
0.69, -0.62, 0.34, 114.6, 177.93, 78.25, 0.987978, 225.644, 1.862, 332.884, 70.1231
-0.41, 0.34, 1.27, -24.65, 164.08, 50.99, 1.37717, 173.58, 1.839, 327.1, 74.3357
-0.08, 0.16, 0.82, -66.06, 114.5, 85.05, 0.839285, 157.187, 1.76333, 324.164, 34.9152
-0.68, -0.04, 0.76, -58.14, 198.72, 1.76, 1.02059, 207.058, 1.75267, 326.782, 40.5358
-0.45, -0.37, 0.9, 10.41, 2.26, -36.22, 1.0721, 37.754, 1.77967, 313.706, 25.8419
-0.43, -0.96, 1.14, 226.68, -183.41, -55.82, 1.55116, 296.882, 1.85033, 315.57, 81.9522
0.08, 0.26, 1.28, 14.76, -250, -26.24, 1.30859, 251.806, 1.80133, 316.33, 73.7398
0.72, 0.89, -0.19, -19.74, -250, 31.28, 1.16043, 252.721, 1.748, 308.575, 79.0472
1.53, 0.34, 0.66, -7.23, 9.34, 83.72, 1.70062, 84.5491, 1.78167, 299.218, 48.7001
0.56, -0.2, 0.7, 104.5, 249.99, 59.53, 0.918477, 277.415, 1.808, 298.732, 45.573
-0.48, -0.36, 1.39, 22.54, 228.66, -26.87, 1.51397, 231.334, 1.80567, 302.938, 67.0455
-0.45, 0.56, 1.48, -54.95, -28.62, 69.53, 1.64514, 93.1291, 1.824, 303.065, 61.3146
-0, 0.2, 0.28, -124.84, 42.76, 97.21, 0.344093, 163.9, 1.80967, 300.914, 73.7398
-0.08, 0.04, 0.87, -76.03, 20.43, 8.38, 0.874586, 79.1718, 1.821, 290.633, 29.5414
-0.36, -0.61, 1.03, 109.27, 78.22, -30.56, 1.25004, 137.812, 1.81367, 286.645, 88.2809
-0.55, -0.69, 1.32, 109.96, -98.99, -71.57, 1.58777, 164.355, 1.79367, 285.293, 71.3371
-0.06, 0.73, 1.45, -12.5, -250, -3.88, 1.6245, 250.342, 1.768, 277.621, 63.2563
0.22, 0.46, 0.58, -66.21, -153.22, 115.72, 0.772269, 203.104, 1.75333, 278.9, 54.5495
1.52, -0.56, 0.52, 63.05, -183.8, 18.84, 1.70129, 195.225, 1.805, 275.875, 58.6677
-0.05, 0.07, 1.26, -48.49, 249.99, -53.34, 1.26293, 260.176, 1.80467, 276.364, 74.9299
-0.23, 0.61, 1.11, -94.51, -11.65, 30.25, 1.28728, 99.9146, 1.81467, 277.127, 83.6847
0.04, -0.06, 0.15, -140.57, 195.62, 31.97, 0.166433, 243, 1.753, 274.72, 81.3731
-0.62, -0.41, 1.21, 32.8, 176.22, 42.74, 1.42007, 184.272, 1.76433, 274.927, 77.8776
-0.65, -0.88, 1.1, 176.03, -250, -118.86, 1.55142, 328.046, 1.82767, 281.451, 84.2608
0.04, 0.33, 1.67, 12.59, -250, -95.28, 1.70276, 267.837, 1.83867, 282.861, 47.9329
0.24, 0.52, 0.9, -22.76, -179.07, 60.02, 1.06677, 190.227, 1.81667, 279.715, 25.8419
1.73, -0.11, 0.36, -4.46, -250, 71.78, 1.77048, 260.139, 1.82467, 278.215, 68.8998
1.18, -0.25, 0.91, 37.18, 249.99, 6.61, 1.51096, 252.826, 1.83367, 277.807, 24.4946
0.36, 0.04, 0.79, 96.89, 249.99, 36.2, 0.86908, 270.542, 1.809, 280.657, 37.8145
0.3, 0.08, 0.75, -24.8, 249.99, 12.83, 0.811727, 251.545, 1.791, 282.865, 41.4096
-1.42, 0.21, 1.34, -82.69, 249.99, 74.56, 1.9637, 273.664, 1.835, 284.08, 70.1231
-0.37, 0.24, 0.79, -35.96, 61.45, 49.8, 0.904765, 86.8865, 1.81433, 280.997, 37.8145
-0.23, 0.15, 0.65, -40.28, -43.13, -143.23, 0.70562, 154.911, 1.81333, 279.698, 49.4584
-0.36, -0.63, 0.88, 172.64, -173.83, -72.01, 1.14057, 255.356, 1.82633, 285.026, 28.3576
-0.17, -0.33, 1.13, 124.27, -192.03, -101.28, 1.18941, 250.152, 1.82333, 297.316, 82.5304
0.28, 0.98, 1.37, 14.26, -250, -19.62, 1.70754, 251.174, 1.82667, 291.248, 68.2844
0.95, 1, -0.68, -120.74, -250, -88.56, 1.53782, 291.412, 1.86033, 296.858, 47.1564
1.34, -0.22, 0.59, -14.72, 180.87, 42.83, 1.48057, 186.454, 1.872, 294.772, 53.843
-0.3, -0.93, 1.47, -61.33, 249.99, -42.3, 1.76516, 260.856, 1.87767, 303.216, 61.9657
-0.1, -0.31, 1.39, -34.58, -156.37, -35.29, 1.42766, 163.99, 1.889, 296.957, 67.0455
0.86, 0.62, 0.15, -151.68, -228.39, -34.43, 1.07075, 276.323, 1.869, 301.504, 81.3731
0.19, -0.33, 0.67, -123.22, 249.99, 33.29, 0.770649, 280.689, 1.82567, 309.951, 47.9329
-0.3, -0.79, 0.98, -101.95, 223.93, -9.98, 1.29402, 246.248, 1.87867, 312.319, 11.4783
