@relation exp_4th_08

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
-0.18, -0.39, 0.56, -32.68, 249.99, 10.05, 0.705762, 252.317, 1.13, 292.72, 55.9442
-1.95, 0.35, 2, -24.91, 60.99, -104.84, 2.81514, 123.821, 2.715, 241.73, 0
-0.11, 0.16, -0.09, -2.85, -240.26, 23.54, 0.214009, 241.427, 1.93, 250.037, 84.8364
0.58, -0.06, 0.44, 55.36, -250, 7.08, 0.730479, 256.154, 1.7175, 265.637, 63.8961
0.54, 0.4, 1.39, -116.66, 59.55, -3.72, 1.54392, 131.033, 1.84, 248.496, 67.0455
0.14, 0.05, -0.21, -54.88, 215.39, 29.16, 0.257294, 224.176, 1.6, 256.985, 77.8776
-0.07, -0.35, 0.2, -54.31, 249.99, 1.77, 0.409145, 255.827, 1.46, 263.997, 78.463
-2, 0.18, 2, -31.62, 185.35, -123.9, 2.83415, 225.179, 1.8, 273.606, 0
-0.21, 0.2, -0.07, -17.4, -240.84, 16.81, 0.298329, 242.052, 1.65333, 273.767, 85.986
0.54, 0.06, -0.23, 17.8, -250, 1.68, 0.59, 250.639, 1.571, 273.338, 76.7029
0.83, 0.42, 1.48, -114.88, 22.87, -9.22, 1.74806, 117.497, 1.67636, 261.85, 61.3146
0.25, 0.04, -0.17, -35.1, 209.18, 14.52, 0.304959, 212.601, 1.575, 261.596, 80.2122
-0.07, -0.29, -0.12, -53.79, 249.99, 8.37, 0.321559, 255.848, 1.49077, 265.485, 83.1079
-2, 0.26, 2, -53.58, 198.74, -130.38, 2.84035, 243.654, 1.68857, 273.857, 0
-0.25, 0.15, -0.03, -12.36, -210.69, 45.19, 0.293087, 215.836, 1.60467, 273.483, 88.2809
0.54, -0.12, 0.29, 22.36, -250, 3.7, 0.62458, 251.025, 1.56375, 273.644, 73.142
0.92, 0.45, 1.07, -120.96, 19.92, -0.21, 1.48115, 122.589, 1.61529, 265.846, 85.986
0.24, 0.08, -0.22, -53.57, 232.74, 19.24, 0.335261, 239.599, 1.55556, 268.052, 77.291
-0.08, -0.36, 0, -70.96, 249.99, 10.6, 0.368782, 260.082, 1.49684, 271.394, 90
-2, 0.04, 2, -30.79, 249.99, -123.72, 2.82871, 280.624, 1.624, 278.05, 0
-0.27, 0.22, 0.06, -26.35, -224.28, 28.09, 0.353412, 227.563, 1.57286, 278.081, 86.5602
0.69, -0.16, 0.64, 51.7, -250, 1.8, 0.95462, 255.296, 1.56909, 279.237, 50.2082
0.03, 0.11, -0.15, -56.88, 219, 37.96, 0.188414, 229.428, 1.51348, 280.741, 81.3731
-0.2, -0.22, -0.09, -57.95, 249.99, 48.64, 0.310644, 261.188, 1.47167, 283.901, 84.8364
-1.84, 0.22, 2, -86.37, 57.16, -76.48, 2.72654, 128.749, 1.5752, 281.346, 0
-0.19, 0.18, -0.09, -17.69, -203.74, 14.27, 0.276767, 205.004, 1.53231, 279.59, 84.8364
0.48, -0.06, 0.08, 18.14, -247.65, -8.45, 0.490306, 248.457, 1.49852, 279.392, 85.4114
1.24, 0.41, 1.25, -129.01, -27.43, -46.94, 1.80782, 139.998, 1.54857, 276.677, 75.5225
0.18, 0.11, -0.23, -17.71, 246.8, 23.16, 0.31209, 248.516, 1.5131, 277.056, 76.7029
-0.07, -0.33, 0.09, -36.61, 249.99, 20.02, 0.349142, 253.448, 1.479, 278.042, 84.8364
-2, 0.42, 2, -50.54, 101.38, -134.13, 2.85944, 175.565, 1.58867, 277.819, 0
-0.15, 0.16, -0.09, -22.7, -178.7, 25.87, 0.237065, 181.984, 1.45867, 279.037, 84.8364
0.62, -0.26, 1.93, 85.88, -250, 13.08, 2.04375, 264.663, 1.54033, 281.781, 21.5652
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.57133, 281.372, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.50367, 287.565, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.556, 287.033, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.65233, 283.571, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.52033, 279.73, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.605, 287.573, 0
0.53, 0.15, 0.6, -124.69, 181.92, 31.68, 0.814494, 222.814, 1.62, 289.866, 53.1301
-0.03, -0.07, -0.26, -55.95, 249.99, 54.34, 0.270924, 261.874, 1.541, 296.977, 74.9299
-1.4, -0.48, 2, 197.51, -19, 14.27, 2.48805, 198.934, 1.655, 296.043, 0
-1.03, 0.36, 0.67, -58.54, -124.16, -38.97, 1.28039, 142.693, 1.70767, 293.027, 47.9329
0.28, 0, -0.09, -9, -222.58, 4.61, 0.294109, 222.81, 1.578, 288.143, 84.8364
0.66, -1, 2, 249.99, -250, -2.18, 2.33144, 353.553, 1.68567, 295.941, 0
0.5, 0.18, 0.08, -74.36, 202.32, 50.15, 0.537401, 221.309, 1.67933, 297.633, 85.4114
0.02, -0.18, -0.23, -59.94, 249.99, 52.77, 0.292746, 262.436, 1.61233, 305.02, 76.7029
-1.27, -1.08, 0.98, 207.33, 164.7, -57.56, 1.93383, 270.97, 1.70533, 309.155, 11.4783
-0.83, 0.38, 0.32, -38.15, -204.08, 8.61, 0.967316, 207.794, 1.74167, 306.464, 71.3371
0.41, -0.07, -0.05, 5.08, -250, 18.26, 0.418927, 250.717, 1.62467, 302.092, 87.134
1.07, 1.2, -0.15, -1.3, -227.17, -44.08, 1.61474, 231.411, 1.687, 301.887, 81.3731
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.70433, 301.776, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.70467, 303.505, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.75333, 301.068, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.735, 300.475, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.727, 300.14, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.807, 308.009, 0
-0.1, -0.3, -0.09, -76.6, 249.99, 11.17, 0.328786, 261.701, 1.72667, 312.489, 84.8364
-1.97, 0.1, 2, -21.52, 198.49, -135.98, 2.80907, 241.561, 1.845, 314.766, 0
-0.19, 0.2, -0.05, -36.25, -236.24, 13.28, 0.280357, 239.374, 1.84333, 314.071, 87.134
0.61, 0.09, 0.78, 43.3, -250, 28.23, 0.994284, 255.288, 1.74533, 315.254, 38.7394
0.93, 0.29, 0.83, -160.9, 108.73, 12.73, 1.2798, 194.61, 1.80033, 317.09, 33.9013
0.18, -0.05, -0.31, -41.51, 249.99, 54.99, 0.361939, 259.311, 1.72467, 317.008, 71.9408
-0.34, -0.74, 2, 67.65, 212.49, -7.46, 2.15944, 223.124, 1.76033, 316.589, 0
-1.75, 0.72, 1.16, -68, -18.94, -101.21, 2.21957, 123.394, 1.87133, 310.669, 80.7931
0.07, 0.04, -0.1, -25.06, -217.96, 27.58, 0.128452, 221.123, 1.81267, 310.24, 84.2608
0.38, -0.94, 2, 249.99, -250, 18.38, 2.24232, 354.024, 1.80633, 320.779, 0
0.54, 0.16, 0.21, -91.49, 184.56, 260.26, 0.601082, 331.916, 1.82933, 331.134, 77.8776
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.79567, 324.129, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.763, 325.044, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.81667, 322.484, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.80433, 321.531, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.743, 321.664, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.83133, 330.802, 0
-0.02, -0.13, -0.24, -54.93, 249.99, 31.95, 0.273679, 257.94, 1.72233, 325.292, 76.1135
-1.36, -0.97, 1.66, 213.33, 44.9, -67.62, 2.35502, 228.25, 1.83, 325.259, 48.7001
-0.7, 0.32, 0.14, -41.88, -175.91, -39.62, 0.782304, 185.116, 1.85433, 321.749, 81.9522
0.38, 0, -0.16, -14.18, -230.73, 15.5, 0.412311, 231.684, 1.76133, 316.11, 80.7931
0.75, 1.41, -0.46, 57.52, -250, -6.77, 1.66199, 256.621, 1.79767, 318.225, 62.6129
0.33, 0.11, -0.31, -61.54, 241.36, 44.53, 0.46594, 253.031, 1.805, 320.695, 71.9408
-0.01, -0.35, -0.09, -69.33, 249.99, 30.4, 0.361525, 261.201, 1.73933, 323.267, 84.8364
-1.82, 0.12, 2, -84.21, 249.99, -156.05, 2.70681, 306.493, 1.80367, 329.603, 0
-0.33, 0.21, -0.08, -21.84, -179.67, 4.13, 0.399249, 181.04, 1.81433, 324.267, 85.4114
0.58, 0.08, 0.66, 24.57, -250, 38.3, 0.88227, 254.107, 1.79267, 325.247, 48.7001
0.94, 0.37, 0.81, -161.24, 97.26, 18.34, 1.29484, 189.194, 1.74633, 327.735, 35.9041
0.1, 0.01, -0.25, -58.72, 249.99, 8, 0.269444, 256.918, 1.751, 330.77, 75.5225
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.71733, 323.765, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.711, 324.697, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.641, 322.28, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.74333, 319.494, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.70133, 316.298, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.73367, 323.897, 0
-0.24, -0.52, 2, 27.2, 248.48, 6.88, 2.08038, 250.059, 1.80767, 321.766, 0
-1.52, 0.45, 1.5, -64.86, 7.22, -154.03, 2.18241, 167.285, 1.82067, 319.716, 60
-0.07, 0.06, -0.13, -28.08, -216.91, 4.33, 0.159374, 218.763, 1.70833, 321.755, 82.5304
0.61, -0.1, 2, 98.71, -250, 56.62, 2.09335, 274.681, 1.79167, 326.246, 0
0.75, 0.3, 0.5, -187.93, 128.36, 15.39, 0.95, 228.103, 1.73267, 320.023, 60
0.1, -0.11, -0.3, -82.3, 249.99, 60.59, 0.334813, 270.073, 1.71933, 315.242, 72.5424
-1.25, -0.78, 2, 249.99, 72.4, 22.06, 2.48413, 261.196, 1.78667, 316.718, 0
-1.38, 0.67, 0.54, -71.59, -97.72, -81.12, 1.62631, 145.79, 1.863, 312.875, 57.3164
0.15, 0.03, 0, -28.69, -250, 31.2, 0.152971, 253.568, 1.80333, 313.756, 90
0.67, -0.68, 0.03, 249.99, -250, -45.91, 0.955092, 356.515, 1.73233, 325.212, 88.2809
0.39, 0.12, -0.21, -91.58, 238.91, 52.12, 0.458912, 261.116, 1.749, 330.444, 77.8776
-0.01, -0.29, -0.08, -74.13, 249.999, 8, 0.300998, 260.881, 1.661, 324.504, 85.4114
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.715, 323.281, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.592, 324.61, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.619, 325.479, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.718, 323.539, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.638, 320.584, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.71367, 326.014, 0
-2, 0.28, 1.78, -37.21, 249.99, -156.6, 2.69199, 297.327, 1.834, 329.15, 38.7394
-0.35, 0.27, -0.12, -54.91, -214.13, -22.83, 0.458039, 222.234, 1.72733, 322.537, 83.1079
0.49, 0.28, -0.11, -9.07, -250, 47.23, 0.574978, 254.584, 1.736, 325.893, 83.6847
1.26, 0.31, 0.74, -204.69, 14.53, 25.22, 1.49375, 206.749, 1.769, 323.612, 42.2686
0.22, -0.08, -0.32, -78.03, 249.99, 46.69, 0.396485, 266.014, 1.719, 326.874, 71.3371
-1, -0.88, 2, 248.79, 249.99, 31.84, 2.403, 354.126, 1.83633, 334.004, 0
-1.3, 0.75, 0.4, -79.99, -65.25, -96.23, 1.55322, 141.125, 1.851, 332.048, 66.4218
0.13, 0.22, -0.01, -27.34, -250, 15.16, 0.255734, 251.947, 1.853, 329.607, 89.427
0.99, -0.33, -0.21, 249.99, -250, -31.18, 1.06447, 354.919, 1.83833, 337.863, 77.8776
0.57, 0.01, -0.23, -57.53, 246.19, 43.89, 0.614736, 256.604, 1.74833, 342.71, 76.7029
0.05, -0.37, -0.09, -62.36, 249.99, 17.2, 0.384057, 258.224, 1.758, 346.173, 84.8364
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.72433, 339.168, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.64233, 341.941, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.59233, 343.853, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.70067, 342.282, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.61767, 336.293, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.66667, 342.248, 0
-0.41, 0.36, -0.11, -59.05, -224.74, -8.75, 0.556597, 232.533, 1.679, 338.903, 83.6847
0.47, 0.24, -0.05, -2.3, -250, 43.78, 0.530094, 253.815, 1.57, 337.291, 87.134
1.38, 0.18, 0.77, -171.58, -10.69, 29.33, 1.5905, 174.397, 1.56133, 335.996, 39.6461
0.36, -0.09, -0.3, -58.78, 249.99, 18.39, 0.477179, 257.465, 1.58033, 336.572, 72.5424
-0.64, -0.94, 2, 200, 249.99, -6.13, 2.3007, 320.207, 1.65367, 333.579, 0
-1.57, 0.67, 0.5, -98.37, -33.13, -121.01, 1.77871, 159.429, 1.721, 329.243, 60
0.02, 0.1, -0.04, -56.29, -229.16, 39.19, 0.109545, 239.204, 1.71367, 328.993, 87.7076
0.48, -1.09, 1.67, 249.99, -250, 6.71, 2.05119, 353.61, 1.75467, 335.877, 47.9329
0.99, -0.12, -0.17, -108.67, 179.99, 32.01, 1.01163, 212.674, 1.78733, 334.375, 80.2122
0.07, -0.22, -0.12, -65.13, 249.99, 18.31, 0.260192, 258.983, 1.73533, 336.041, 83.1079
-1.62, -0.48, 1.75, 113.39, 249.99, -96.53, 2.43255, 290.982, 1.74667, 344.631, 41.4096
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.80633, 347.115, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.71567, 342.295, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.646, 336.951, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.73833, 333.962, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.71633, 331.274, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.74, 340.136, 0
0.39, -0.01, 0.67, -29.52, -250, 41.53, 0.775306, 255.14, 1.755, 338.348, 47.9329
1.48, 0.98, 0.59, -99.85, -43.03, 0.01, 1.87053, 108.727, 1.72733, 325.423, 53.843
0.22, 0.13, -0.16, -66.41, 249.99, 52.7, 0.301496, 263.975, 1.66267, 329.678, 80.7931
-0.01, -0.55, 1.66, 15.98, 249.99, 34.72, 1.74877, 252.895, 1.72467, 329.951, 48.7001
-1.83, 0.66, 1.94, -61.4, 53.12, -164.22, 2.74738, 183.194, 1.82133, 321.536, 19.9484
-0.11, 0.12, -0.13, -35.25, -221.66, 26.7, 0.208327, 226.028, 1.80633, 319.403, 82.5304
0.56, -0.07, 1.5, 45.86, -250, 35.07, 1.60265, 256.58, 1.86033, 319.449, 60
0.93, 0.22, 0.62, -168.18, 42.81, 17.15, 1.13917, 174.388, 1.85233, 317.048, 51.6839
0.22, -0.07, -0.26, -53, 249.99, 35.69, 0.347707, 258.027, 1.86067, 316.146, 74.9299
-0.85, -0.79, 2, 230.13, 213.34, 0.4, 2.31227, 313.806, 1.91633, 321.493, 0
-1.46, 0.64, 0.71, -81.82, -128, 5.53, 1.74508, 152.017, 1.893, 321.931, 44.7651
0.74, 0.27, 1, -121.99, 135.38, 42.8, 1.27299, 187.193, 1.95267, 324.415, 0
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.862, 319.595, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.89833, 319.293, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.99, 316.164, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.91967, 316.632, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.99533, 322.738, 0
0.13, 0.03, -0.09, -41.73, -247.32, 42.67, 0.160935, 254.42, 1.88433, 318.591, 84.8364
0.7, -1.1, 1.7, 249.99, -250, -34.23, 2.14243, 355.2, 1.90967, 327.981, 45.573
0.68, 0.11, -0.02, -104.11, 217.25, 34.63, 0.68913, 243.384, 1.93133, 329.026, 88.854
-0.04, -0.21, -0.06, -60.82, 249.99, 51.07, 0.222036, 262.302, 1.83367, 324.199, 86.5602
-2, 0.09, 2, -20.72, 249.99, -163.71, 2.82986, 299.542, 1.92733, 327.991, 0
-0.41, 0.25, -0.03, -46.65, -220.47, -10.21, 0.481144, 225.583, 1.93667, 326.121, 88.2809
0.6, -0.06, 1.32, 50.45, -250, 15.11, 1.45121, 255.487, 1.87433, 321.309, 71.3371
1.24, 0.5, 0.67, -136.76, 6.48, 16.71, 1.49549, 137.929, 1.88767, 316.635, 47.9329
0.19, 0.12, -0.21, -61.78, 249.99, 55.62, 0.307571, 263.449, 1.895, 316.69, 77.8776
-0.06, -0.42, 1.07, -22.57, 249.99, 35.25, 1.15104, 253.47, 1.881, 317.502, 85.986
-1.68, 0.58, 1.83, -76.45, 36.32, -154.81, 2.55102, 176.437, 1.90033, 319.681, 33.9013
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.903, 324.35, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.868, 316.788, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.94933, 312.827, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.855, 315.586, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.93867, 320.293, 0
0.57, -0.16, 2, 77.78, -250, 20.36, 2.08579, 262.61, 1.95567, 321.875, 0
0.99, 0.39, 0.53, -189.67, 77.91, 27.24, 1.18874, 206.849, 1.87167, 322.411, 57.9945
0.11, -0.02, -0.24, -80.8, 249.99, 53.8, 0.264764, 268.175, 1.872, 325.777, 76.1135
-1.08, -0.62, 2, 223.01, 180.05, 26.83, 2.35601, 287.874, 1.92433, 329.075, 0
-1.16, 0.46, 0.63, -87.97, -134.97, -89.7, 1.39789, 184.396, 1.94033, 331.892, 50.9499
0.15, 0.04, -0.05, -36.8, -246.82, 34.63, 0.163095, 251.94, 1.93, 331.211, 87.134
0.81, -0.85, 1.47, 249.99, -250, -37.46, 1.88136, 355.525, 1.913, 334.33, 61.9657
0.59, 0.18, 0.04, -94.25, 190.02, 38.02, 0.618142, 215.491, 1.84633, 337.895, 87.7076
0.03, -0.18, -0.16, -59.91, 249.99, 44.65, 0.242693, 260.917, 1.79167, 339.708, 80.7931
-1.61, -0.29, 1.14, 40.35, 249.99, -123.15, 1.99394, 281.583, 1.883, 341.3, 81.9522
-0.47, 0.35, 0.07, -58.36, -184.73, -21.21, 0.590169, 194.887, 1.847, 340.661, 85.986
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.74, 346.112, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.79833, 348.039, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.81467, 337.768, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.81367, 334.233, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.79767, 333.436, 0
0.53, 0.1, 0.03, -5.01, -250, 20.92, 0.540185, 250.924, 1.79267, 330.767, 88.2809
1.08, 0.94, 0.92, -69.57, -132.06, 30.06, 1.70188, 152.261, 1.88033, 326.428, 23.0739
0.4, 0.09, -0.17, -59.52, 245.45, 45.81, 0.443847, 256.684, 1.766, 323.64, 80.2122
0, -0.39, 0.41, -36.5, 249.99, 28.31, 0.565862, 254.222, 1.76967, 324.889, 65.7952
-1.95, 0.28, 2, -37.14, 180.98, -150.14, 2.80729, 238.065, 1.84467, 326.645, 0
-0.21, 0.21, 0.02, -44.12, -202.76, 33.85, 0.297658, 210.248, 1.779, 330.671, 88.854
0.53, 0.03, 0.06, 8.4, -250, 35.16, 0.534228, 252.6, 1.78233, 328.21, 86.5602
0.79, 0.48, 1.44, -152.36, -14, -3.8, 1.71117, 153.049, 1.821, 323.622, 63.8961
0.3, -0.02, -0.27, -38.39, 223.58, 39.15, 0.404104, 230.205, 1.70433, 324.74, 74.3357
-0.02, -0.55, 0.82, -33.84, 249.99, 0.76, 0.987573, 252.271, 1.74067, 322.035, 34.9152
-2, 0.49, 2, -9.07, 156.14, -159.29, 2.87056, 223.238, 1.82467, 323.403, 0
-0.16, 0.23, -0.1, -28.98, -250, 63.39, 0.297489, 259.534, 1.724, 328.075, 84.2608
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.72667, 332.744, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.69167, 325.183, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.71767, 320.318, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.66133, 318.013, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.74967, 322.204, 0
0.53, 0.11, 0.08, 26.66, -250, 54.95, 0.547175, 257.352, 1.65033, 318.928, 85.4114
0.81, 0.15, 1.01, -133.3, 95.12, 25.24, 1.30334, 165.692, 1.641, 316.962, 89.427
0.19, -0, -0.24, -52.61, 240.78, 11.04, 0.306105, 246.708, 1.64733, 316.501, 76.1135
-0.2, -0.59, 1.74, 11.19, 249.99, -4.94, 1.84816, 250.289, 1.62733, 307.457, 42.2686
-1.78, 0.53, 1.46, -62.29, -7.27, -125.82, 2.36239, 140.583, 1.726, 303.226, 62.6129
-0.06, 0.13, -0.04, -32.01, -250, 54.45, 0.148661, 257.855, 1.72133, 302.623, 87.7076
0.87, -0.58, 2, 185.7, -250, 12.9, 2.25683, 311.69, 1.735, 303.794, 0
0.85, 0.11, 0.66, -128.78, 147.44, 31.75, 1.08176, 198.32, 1.75933, 305.249, 48.7001
0.16, -0.04, -0.25, -58.54, 249.99, 49.52, 0.2995, 261.485, 1.76433, 304.993, 75.5225
-0.92, -0.73, 2, 204.65, 229.97, 19.6, 2.31933, 308.467, 1.82033, 310.685, 0
-1.45, 0.6, 0.84, -85.3, -113.69, -74.4, 1.77992, 160.427, 1.79967, 313.058, 32.8599
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.80233, 317.727, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.76733, 310.165, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.86233, 307.708, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.77167, 307.507, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.85033, 312.825, 0
0.65, -0.86, 2, 249.99, -250, 15.04, 2.27203, 353.866, 1.94067, 319.499, 0
0.79, 0.13, 0.36, -118.24, 187.61, 16.99, 0.877838, 222.411, 1.84233, 317.985, 68.8998
0.03, -0.13, -0.15, -55.31, 249.99, 46.65, 0.200749, 260.251, 1.838, 320.359, 81.3731
-1.26, -0.78, 1.89, 197.14, 209.53, -27.69, 2.40169, 289.022, 1.94833, 325.052, 27.1268
-0.79, 0.36, 0.46, -72.67, -227.78, -12.99, 0.982497, 239.444, 1.91167, 329.828, 62.6129
0.37, -0, -0.19, -33.17, -228.15, 16.73, 0.415933, 231.155, 1.91067, 329.059, 79.0472
0.84, -0.15, 0.63, 249.99, -250, -56.65, 1.06066, 358.056, 1.91833, 338.128, 50.9499
0.5, 0.1, -0.22, -76.03, 249.69, 26.89, 0.555338, 262.39, 1.796, 339.065, 77.291
0.05, -0.47, 0.82, -18.09, 249.99, 19.13, 0.946467, 251.373, 1.82433, 337.226, 34.9152
-2, 0.2, 2, -39.65, 173.68, -158.16, 2.83549, 238.226, 1.95433, 337.418, 0
-0.3, 0.18, 0.03, -43.84, -250, 86.97, 0.351141, 268.302, 1.90567, 340.663, 88.2809
0.01, 0.08, -0.21, -62.71, 249.99, 53.03, 0.224944, 263.134, 1.79867, 346.114, 77.8776
-0.27, -0.32, 1.38, -20.58, 249.99, 12.9, 1.44212, 251.167, 1.857, 348.041, 67.6663
-1.62, 0.41, 1.48, -68.98, 17.6, -115.62, 2.23224, 135.779, 1.87333, 337.77, 61.3146
0.01, 0.07, -0.14, -28.97, -190.99, -5.7, 0.156844, 193.259, 1.85667, 334.238, 81.9522
0.56, -0.46, 2, 238.14, -250, 22.18, 2.12725, 345.981, 1.89167, 342.794, 0
0.68, 0.07, 1.44, -111.22, 80.7, 77.74, 1.59402, 157.879, 1.95033, 341.635, 63.8961
0.24, 0.04, -0.26, -96.72, 249.99, 32.46, 0.35609, 270.006, 1.884, 345.403, 74.9299
