@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
-1.95313, 27.3438, -478.516, 479.3, 507.813, Lie
9.76563, 15.625, -488.281, 488.629, 510.742, Lie
17.5781, 5.85938, -496.094, 496.44, 513.672, Lie
7.8125, 21.4844, -486.328, 486.865, 514.16, Lie
11.7188, 29.2969, -476.563, 477.606, 514.844, Lie
31.25, 19.5313, -478.516, 479.933, 517.253, Lie
25.3906, 39.0625, -476.563, 478.834, 520.647, Lie
5.85938, 25.3906, -496.094, 496.778, 521.484, Lie
21.4844, 11.7188, -474.609, 475.24, 519.965, Lie
13.6719, 19.5313, -486.328, 486.912, 519.922, Lie
11.7188, 25.3906, -480.469, 481.282, 519.709, Lie
-1.95313, 27.3438, -488.281, 489.05, 519.531, Lie
13.6719, 27.3438, -472.656, 473.644, 519.081, Lie
0, 29.2969, -490.234, 491.109, 519.113, Lie
7.8125, 9.76563, -496.094, 496.251, 518.75, Lie
5.85938, 27.3438, -476.563, 477.382, 518.188, Lie
9.76563, 21.4844, -482.422, 482.999, 517.923, Lie
15.625, 23.4375, -484.375, 485.193, 518.229, Lie
7.8125, 21.4844, -492.188, 492.718, 518.989, Lie
1.95313, 21.4844, -496.094, 496.563, 519.314, Lie
25.3906, 21.4844, -468.75, 469.929, 519.097, Lie
23.4375, 23.4375, -468.75, 469.92, 519.097, Lie
5.85938, 13.6719, -478.516, 478.747, 518.012, Lie
9.76563, 27.3438, -478.516, 479.396, 517.253, Lie
9.76563, 29.2969, -474.609, 475.613, 515.734, Lie
11.7188, 19.5313, -490.234, 490.763, 515.408, Lie
3.90625, 31.25, -490.234, 491.245, 516.385, Lie
7.8125, 15.625, -470.703, 471.027, 514.974, Lie
7.8125, 19.5313, -480.469, 480.929, 514.431, Lie
21.4844, 11.7188, -476.563, 477.19, 513.997, Lie
9.76563, 25.3906, -480.469, 481.238, 514.106, Lie
0, 21.4844, -484.375, 484.851, 513.346, Lie
15.625, 25.3906, -484.375, 485.292, 513.997, Lie
29.2969, 15.625, -482.422, 483.563, 514.974, Lie
25.3906, 23.4375, -478.516, 479.762, 515.734, Lie
9.76563, 31.25, -484.375, 485.48, 515.842, Lie
5.85938, 27.3438, -476.563, 477.382, 515.191, Lie
5.85938, 23.4375, -478.516, 479.125, 514.54, Lie
11.7188, 25.3906, -488.281, 489.081, 515.082, Lie
5.85938, 17.5781, -464.844, 465.213, 513.563, Lie
3.90625, 17.5781, -466.797, 467.144, 513.021, Lie
21.4844, 23.4375, -500, 501.01, 514.648, Lie
5.85938, 17.5781, -476.563, 476.923, 513.889, Lie
