@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
110, -40, 970, 977.036, 1120,  Sit
100, -30, 980, 985.546, 1115,  Sit
110, -20, 970, 976.422, 1110,  Sit
90, -30, 980, 984.581, 1107.5,  Sit
100, -20, 990, 995.239, 1108,  Sit
110, -20, 980, 986.357, 1108.33,  Sit
110, -30, 970, 976.678, 1108.57,  Sit
100, -30, 960, 965.66, 1106.25,  Sit
80, -30, 980, 983.717, 1104.44,  Sit
100, -30, 980, 985.546, 1105,  Sit
110, -30, 980, 986.61, 1106.36,  Sit
90, -30, 980, 984.581, 1105.83,  Sit
100, -30, 970, 975.602, 1105.38,  Sit
90, -30, 980, 984.581, 1105,  Sit
90, -30, 970, 974.628, 1104,  Sit
100, -30, 960, 965.66, 1103.13,  Sit
90, -50, 980, 985.393, 1104.12,  Sit
80, -30, 980, 983.717, 1103.33,  Sit
90, -40, 980, 984.937, 1102.78,  Sit
80, -50, 980, 984.53, 1102.78,  Sit
70, -30, 990, 992.925, 1102.22,  Sit
110, -20, 980, 986.357, 1102.78,  Sit
130, 0, 950, 958.853, 1101.11,  Sit
120, 0, 950, 957.549, 1098.89,  Sit
190, -10, 990, 1008.12, 1103.33,  Sit
200, 10, 980, 1000.25, 1108.89,  Sit
220, 30, 950, 975.602, 1115,  Sit
180, 0, 1000, 1016.07, 1118.89,  Sit
200, -10, 980, 1000.25, 1122.78,  Sit
170, -0, 970, 984.784, 1125,  Sit
210, 20, 960, 982.904, 1130,  Sit
230, -10, 960, 987.218, 1135.56,  Sit
200, 20, 970, 990.606, 1141.11,  Sit
220, -0, 970, 994.636, 1146.67,  Sit
250, -10, 980, 1011.43, 1153.33,  Sit
230, 20, 970, 997.096, 1160.56,  Sit
230, 10, 980, 1006.68, 1166.67,  Sit
210, 0, 970, 992.472, 1170.56,  Sit
230, 0, 960, 987.168, 1176.11,  Sit
240, -0, 960, 989.545, 1181.11,  Sit
220, 20, 970, 994.837, 1188.33,  Sit
240, -10, 970, 999.3, 1196.67,  Sit
240, -10, 950, 979.898, 1197.22,  Sit
230, 0, 960, 987.168, 1197.22,  Sit
230, -10, 960, 987.218, 1197.22,  Sit
250, -10, 970, 1001.75, 1200,  Sit
250, 10, 940, 972.728, 1200.56,  Sit
250, -10, 990, 1021.13, 1206.67,  Sit
250, 0, 960, 992.018, 1207.78,  Sit
240, 10, 940, 970.206, 1207.22,  Sit
250, 20, 960, 992.22, 1209.44,  Sit
270, 0, 970, 1006.88, 1212.22,  Sit
240, 10, 970, 999.3, 1211.11,  Sit
240, -10, 960, 989.596, 1210.56,  Sit
240, 10, 960, 989.596, 1210,  Sit
260, 0, 970, 1004.24, 1212.78,  Sit
260, 10, 970, 1004.29, 1215.56,  Sit
250, -0, 960, 992.018, 1216.11,  Sit
260, 0, 950, 984.937, 1216.11,  Sit
250, 0, 960, 992.018, 1215.56,  Sit
260, 0, 960, 994.585, 1216.67,  Sit
260, 10, 960, 994.636, 1218.89,  Sit
260, 10, 960, 994.636, 1220.56,  Sit
250, 10, 970, 1001.75, 1220.56,  Sit
260, 10, 970, 1004.29, 1222.78,  Sit
250, 20, 990, 1021.27, 1223.33,  Sit
270, 20, 970, 1007.07, 1226.11,  Sit
250, -20, 930, 963.224, 1226.67,  Sit
240, 20, 940, 970.361, 1225,  Sit
240, 0, 970, 999.25, 1223.33,  Sit
250, 10, 960, 992.069, 1223.33,  Sit
250, 10, 960, 992.069, 1223.89,  Sit
250, 10, 950, 982.395, 1223.89,  Sit
250, 10, 970, 1001.75, 1223.89,  Sit
250, 0, 960, 992.018, 1222.22,  Sit
250, 10, 970, 1001.75, 1223.33,  Sit
250, -0, 970, 1001.7, 1223.89,  Sit
240, 10, 960, 989.596, 1223.89,  Sit
240, -10, 960, 989.596, 1223.33,  Sit
240, -0, 960, 989.545, 1221.67,  Sit
250, -10, 960, 992.069, 1221.11,  Sit
250, -0, 970, 1001.7, 1220.56,  Sit
250, 0, 970, 1001.7, 1219.44,  Sit
230, -0, 970, 996.895, 1216.11,  Sit
240, -10, 970, 999.3, 1213.89,  Sit
230, -10, 960, 987.218, 1213.89,  Sit
240, -10, 960, 989.596, 1214.44,  Sit
240, -0, 960, 989.545, 1213.89,  Sit
240, -20, 960, 989.747, 1213.89,  Sit
250, -0, 960, 992.018, 1213.33,  Sit
240, -10, 960, 989.596, 1213.33,  Sit
230, -0, 970, 996.895, 1211.67,  Sit
240, 10, 980, 1009.01, 1212.78,  Sit
250, 10, 970, 1001.75, 1212.78,  Sit
240, 0, 960, 989.545, 1211.67,  Sit
230, 0, 960, 987.168, 1210.56,  Sit
260, 10, 980, 1013.95, 1212.78,  Sit
270, 0, 970, 1006.88, 1215,  Sit
300, -10, 960, 1005.83, 1217.78,  Sit
310, -20, 960, 1009.01, 1221.67,  Sit
230, 20, 930, 958.228, 1219.44,  Sit
200, -30, 930, 951.735, 1217.22,  Sit
120, -100, 960, 972.625, 1215,  Sit
130, -40, 970, 979.49, 1211.67,  Sit
150, -50, 980, 992.673, 1210,  Sit
150, -30, 970, 981.988, 1207.22,  Sit
140, -60, 990, 1001.65, 1205.56,  Sit
110, -70, 1000, 1008.46, 1203.89,  Sit
100, -30, 970, 975.602, 1197.78,  Sit
80, -50, 980, 984.53, 1192.78,  Sit
120, -30, 970, 977.855, 1186.67,  Sit
90, -30, 990, 994.535, 1180,  Sit
100, -40, 980, 985.901, 1175.56,  Sit
90, -40, 970, 974.987, 1170.56,  Sit
100, -50, 960, 966.488, 1162.78,  Sit
100, -50, 1000, 1006.23, 1157.78,  Sit
90, -50, 970, 975.449, 1148.89,  Sit
80, -50, 960, 964.624, 1137.78,  Sit
250, -0, 960, 992.018, 1139.44,  Sit
240, -10, 960, 989.596, 1142.22,  Sit
230, -0, 970, 996.895, 1143.33,  Sit
240, 10, 980, 1009.01, 1148.33,  Sit
250, 10, 970, 1001.75, 1151.11,  Sit
50, -60, 960, 963.172, 1146.67,  Sit
60, -50, 970, 973.139, 1140.56,  Sit
50, -80, 980, 984.53, 1136.67,  Sit
60, -70, 980, 984.327, 1137.22,  Sit
80, -70, 970, 975.807, 1137.78,  Sit
50, -70, 1000, 1003.69, 1137.78,  Sit
40, -110, 970, 977.036, 1138.33,  Sit
20, -70, 960, 962.756, 1134.44,  Sit
10, -60, 980, 981.886, 1131.67,  Sit
-10, -20, 980, 980.255, 1126.11,  Sit
70, 20, 920, 922.876, 1118.33,  Sit
90, -10, 950, 954.306, 1115,  Sit
110, -70, 1000, 1008.46, 1120,  Sit
100, -30, 970, 975.602, 1113.89,  Sit
80, -50, 980, 984.53, 1108.33,  Sit
120, -30, 970, 977.855, 1103.89,  Sit
90, -30, 990, 994.535, 1097.22,  Sit
100, -40, 980, 985.901, 1091.11,  Sit
90, -40, 970, 974.987, 1092.78,  Sit
100, -50, 960, 966.488, 1094.44,  Sit
100, -50, 1000, 1006.23, 1096.67,  Sit
90, -50, 970, 975.449, 1096.67,  Sit
80, -50, 960, 964.624, 1095,  Sit
250, -0, 960, 992.018, 1100,  Sit
240, -10, 960, 989.596, 1105,  Sit
230, -0, 970, 996.895, 1113.33,  Sit
240, 10, 980, 1009.01, 1123.33,  Sit
200, -190, 830, 874.643, 1135,  Sit
260, -350, 960, 1054.37, 1166.11,  Sit
280, -270, 990, 1063.67, 1193.33,  Sit
310, -220, 780, 867.698, 1200.56,  Sit
290, -420, 980, 1104.94, 1233.33,  Sit
280, -210, 870, 937.763, 1247.22,  Sit
120, -170, 1100, 1119.51, 1262.22,  Sit
590, -450, 1090, 1318.6, 1318.89,  Sit
630, -390, 730, 1040.14, 1353.89,  Sit
220, -120, 540, 595.315, 1341.67,  Sit
580, -220, 960, 1142.98, 1377.78,  Sit
490, -380, 730, 957.81, 1402.78,  Sit
280, -370, 870, 986.002, 1425.56,  Sit
210, -240, 730, 796.618, 1430.56,  Sit
420, -280, 930, 1058.16, 1453.89,  Sit
470, -240, 770, 933.488, 1468.89,  Sit
450, -270, 940, 1076.57, 1494.44,  Sit
250, -400, 350, 587.367, 1481.67,  Sit
200, -190, 830, 874.643, 1481.67,  Sit
260, -350, 960, 1054.37, 1481.67,  Sit
280, -270, 990, 1063.67, 1481.67,  Sit
340, -190, 870, 953.205, 1486.67,  Sit
270, -220, 890, 955.72, 1469.44,  Sit
250, -230, 870, 933.97, 1468.89,  Sit
260, -240, 970, 1032.52, 1473.33,  Sit
290, -160, 850, 912.25, 1427.22,  Sit
300, -340, 930, 1034.65, 1417.22,  Sit
290, -240, 790, 875.1, 1441.67,  Sit
270, -200, 930, 988.838, 1421.67,  Sit
240, -210, 940, 992.623, 1410,  Sit
310, -220, 780, 867.698, 1398.33,  Sit
290, -420, 980, 1104.94, 1426.67,  Sit
280, -210, 870, 937.763, 1411.67,  Sit
430, -260, 810, 953.205, 1412.78,  Sit
570, -340, 980, 1183.6, 1425.56,  Sit
530, -360, 880, 1088.53, 1468.33,  Sit
390, -270, 790, 921.466, 1481.11,  Sit
350, -210, 730, 836.361, 1465.56,  Sit
510, -260, 890, 1058.21, 1472.22,  Sit
90, -130, 850, 864.581, 1453.89,  Sit
450, -320, 990, 1133.58, 1475,  Sit
280, -260, 940, 1014.69, 1482.22,  Sit
400, -250, 730, 869.138, 1477.22,  Sit
610, -410, 880, 1146.56, 1510.56,  Sit
250, -400, 350, 587.367, 1478.89,  Sit
200, -190, 830, 874.643, 1473.33,  Sit
260, -350, 960, 1054.37, 1482.78,  Sit
280, -270, 990, 1063.67, 1491.11,  Sit
340, -190, 870, 953.205, 1496.11,  Sit
270, -220, 890, 955.72, 1478.89,  Sit
250, -230, 870, 933.97, 1478.33,  Sit
260, -240, 970, 1032.52, 1476.67,  Sit
290, -160, 850, 912.25, 1443.89,  Sit
300, -340, 930, 1034.65, 1432.78,  Sit
290, -240, 790, 875.1, 1425.56,  Sit
270, -200, 930, 988.838, 1431.67,  Sit
240, -210, 940, 992.623, 1416.67,  Sit
310, -220, 780, 867.698, 1430,  Sit
290, -420, 980, 1104.94, 1426.11,  Sit
280, -210, 870, 937.763, 1419.44,  Sit
530, -360, 810, 1032.76, 1437.22,  Sit
270, -190, 1120, 1167.65, 1419.44,  Sit
620, -330, 770, 1042.21, 1459.44,  Sit
420, -250, 800, 937.497, 1473.33,  Sit
450, -210, 820, 958.645, 1468.33,  Sit
290, -150, 790, 854.81, 1451.11,  Sit
290, -50, 830, 880.625, 1438.33,  Sit
520, -320, 850, 1046.57, 1455.56,  Sit
470, -310, 810, 986.458, 1468.89,  Sit
500, -330, 820, 1015.53, 1478.89,  Sit
260, -180, 950, 1001.25, 1483.89,  Sit
410, -140, 780, 892.244, 1470.56,  Sit
200, -190, 830, 874.643, 1465,  Sit
260, -350, 960, 1054.37, 1474.44,  Sit
280, -270, 990, 1063.67, 1482.78,  Sit
340, -190, 870, 953.205, 1487.78,  Sit
270, -220, 890, 955.72, 1470.56,  Sit
250, -230, 870, 933.97, 1470,  Sit
260, -240, 970, 1032.52, 1457.22,  Sit
290, -160, 850, 912.25, 1441.67,  Sit
300, -340, 930, 1034.65, 1433.33,  Sit
290, -240, 790, 875.1, 1425,  Sit
270, -200, 930, 988.838, 1420.56,  Sit
240, -210, 940, 992.623, 1429.44,  Sit
310, -220, 780, 867.698, 1437.22,  Sit
290, -420, 980, 1104.94, 1437.22,  Sit
280, -210, 870, 937.763, 1424.44,  Sit
630, -320, 620, 940.053, 1420,  Sit
200, -180, 1070, 1103.31, 1423.33,  Sit
460, -270, 850, 1003.49, 1437.22,  Sit
570, -330, 800, 1036.24, 1463.89,  Sit
270, -220, 950, 1011.83, 1456.67,  Sit
470, -240, 800, 958.384, 1455,  Sit
500, -150, 950, 1083.97, 1466.11,  Sit
490, -90, 650, 818.963, 1457.78,  Sit
560, -240, 890, 1078.56, 1476.67,  Sit
490, -280, 800, 979.03, 1482.22,  Sit
620, -250, 850, 1081.39, 1505.56,  Sit
470, -220, 720, 887.525, 1496.67,  Sit
460, -230, 720, 884.816, 1501.67,  Sit
200, -190, 830, 874.643, 1491.67,  Sit
260, -350, 960, 1054.37, 1501.67,  Sit
280, -270, 990, 1063.67, 1514.44,  Sit
340, -190, 870, 953.205, 1498.33,  Sit
270, -220, 890, 955.72, 1499.44,  Sit
250, -230, 870, 933.97, 1487.22,  Sit
260, -240, 970, 1032.52, 1488.33,  Sit
290, -160, 850, 912.25, 1472.78,  Sit
300, -340, 930, 1034.65, 1465.56,  Sit
290, -240, 790, 875.1, 1458.89,  Sit
270, -200, 930, 988.838, 1452.78,  Sit
240, -210, 940, 992.623, 1441.11,  Sit
310, -220, 780, 867.698, 1445.56,  Sit
290, -420, 980, 1104.94, 1445.56,  Sit
280, -210, 870, 937.763, 1433.89,  Sit
470, -300, 870, 1033.34, 1429.44,  Sit
410, -280, 1050, 1161.46, 1447.78,  Sit
520, -270, 810, 999.7, 1458.33,  Sit
360, -130, 830, 914.002, 1463.89,  Sit
500, -160, 950, 1085.4, 1466.11,  Sit
410, -200, 920, 1026.89, 1465.56,  Sit
