@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
-333.984, -291.016, -220.703, 494.92, 845.703,  Sit
-404.297, -257.813, -185.547, 514.151, 846.68,  Sit
-404.297, -244.141, -146.484, 494.488, 829.427,  Sit
-414.063, -78.125, -70.3125, 427.194, 762.695,  Sit
-541.016, -187.5, -21.4844, 572.988, 760.156,  Sit
-423.828, -189.453, -87.8906, 472.491, 750.326,  Sit
-427.734, -177.734, -68.3594, 468.209, 739.397,  Sit
-474.609, -175.781, -89.8438, 514.028, 739.502,  Sit
-445.313, -195.313, -85.9375, 493.797, 738.064,  Sit
-447.266, -154.297, -107.422, 485.174, 735.156,  Sit
-445.313, -199.219, -80.0781, 494.372, 734.197,  Sit
-462.891, -164.063, -78.125, 497.28, 731.771,  Sit
-453.125, -171.875, -56.6406, 487.926, 727.915,  Sit
-470.703, -103.516, -54.6875, 485.044, 720.843,  Sit
-417.969, -119.141, 44.9219, 436.933, 711.589,  Sit
-462.891, -23.4375, -83.9844, 471.031, 702.759,  Sit
-441.406, -111.328, -33.2031, 456.438, 695.887,  Sit
-490.234, -218.75, -115.234, 549.054, 703.016,  Sit
-357.422, -292.969, -111.328, 475.368, 698.351,  Sit
-416.016, -287.109, -185.547, 538.45, 700.629,  Sit
-177.734, -375, -66.4063, 420.267, 690.864,  Sit
-476.563, -408.203, -195.313, 657.182, 719.618,  Sit
-314.453, -361.328, -109.375, 491.326, 721.571,  Sit
-312.5, -324.219, -130.859, 468.933, 725.26,  Sit
-300.781, -347.656, -138.672, 480.171, 731.554,  Sit
-337.891, -392.578, -144.531, 537.752, 739.041,  Sit
-216.797, -324.219, -105.469, 404.033, 734.592,  Sit
-230.469, -404.297, -126.953, 482.378, 737.522,  Sit
-230.469, -427.734, -173.828, 516.032, 743.49,  Sit
-175.781, -435.547, -191.406, 507.185, 748.915,  Sit
-134.766, -466.797, -212.891, 530.456, 756.293,  Sit
-154.297, -449.219, -246.094, 534.946, 768.555,  Sit
-134.766, -398.438, -250, 489.3, 779.731,  Sit
-201.172, -494.141, -212.891, 574.428, 798.503,  Sit
-119.141, -373.047, -271.484, 476.51, 808.377,  Sit
-218.75, -398.438, -291.016, 539.717, 813.043,  Sit
-199.219, -414.063, -253.906, 524.98, 818.902,  Sit
-228.516, -359.375, -232.422, 485.17, 815.104,  Sit
-275.391, -312.5, -207.031, 465.143, 824.87,  Sit
-390.625, -298.828, -220.703, 539.07, 815.43,  Sit
-357.422, -259.766, -119.141, 457.628, 812.717,  Sit
-451.172, -203.125, -183.594, 527.752, 816.623,  Sit
-406.25, -123.047, -93.75, 434.705, 807.509,  Sit
-458.984, -87.8906, -78.125, 473.809, 793.62,  Sit
-439.453, -142.578, -35.1563, 463.34, 791.992,  Sit
-542.969, -126.953, -68.3594, 561.787, 790.69,  Sit
-353.516, -146.484, -60.5469, 387.423, 775.608,  Sit
-486.328, -97.6563, -35.1563, 497.28, 765.408,  Sit
-447.266, -191.406, 5.85938, 486.536, 755.968,  Sit
-482.422, -87.8906, -3.90625, 490.378, 740.668,  Sit
-468.75, -158.203, 31.25, 495.713, 733.724,  Sit
-478.516, -93.75, 23.4375, 488.176, 716.363,  Sit
-462.891, -132.813, -3.90625, 481.583, 707.248,  Sit
-451.172, -109.375, 5.85938, 464.277, 688.26,  Sit
-480.469, -105.469, 0, 491.908, 672.635,  Sit
-478.516, -105.469, 0, 490.001, 659.505,  Sit
-468.75, -121.094, 5.85938, 484.174, 648.438,  Sit
-480.469, -103.516, 11.7188, 491.633, 630.968,  Sit
-468.75, -105.469, 3.90625, 480.485, 622.179,  Sit
-468.75, -103.516, 17.5781, 480.366, 608.398,  Sit
-482.422, -101.563, 11.7188, 493.136, 606.879,  Sit
-457.031, -95.7031, -1.95313, 466.948, 602.973,  Sit
-470.703, -99.6094, 13.6719, 481.321, 601.128,  Sit
-492.188, -111.328, -1.95313, 504.625, 593.75,  Sit
-476.563, -97.6563, 19.5313, 486.857, 595.595,  Sit
-480.469, -93.75, 13.6719, 489.721, 593.859,  Sit
-460.938, -111.328, 7.8125, 474.256, 590.278,  Sit
-466.797, -105.469, 7.8125, 478.627, 590.603,  Sit
-482.422, -105.469, 13.6719, 494.006, 587.457,  Sit
-488.281, -99.6094, -9.76563, 498.434, 587.565,  Sit
-466.797, -111.328, 19.5313, 480.286, 587.457,  Sit
-468.75, -93.75, 15.625, 478.288, 588.108,  Sit
-464.844, -107.422, 11.7188, 477.238, 587.999,  Sit
