@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
23.4375, 3.90625, 513.672, 514.221, 541.016, Unknown
62.5, -105.469, 560.547, 573.797, 634.766, Unknown
-121.094, -54.6875, 437.5, 457.232, 627.604, Unknown
-27.3438, -181.641, -132.813, 226.672, 556.152, Unknown
-421.875, -17.5781, -353.516, 550.691, 603.516, Unknown
-380.859, -7.8125, -322.266, 498.969, 621.419, Unknown
-732.422, -3.90625, -519.531, 897.981, 712.054, Unknown
-21.4844, -48.8281, -242.188, 247.993, 662.109, Unknown
167.969, 93.75, -371.094, 417.987, 658.854, Unknown
-701.172, 195.313, -343.75, 804.955, 716.992, Unknown
503.906, 74.2188, 44.9219, 511.32, 708.452, Unknown
-818.359, -52.7344, -226.563, 850.778, 740.885, Unknown
-998.047, 201.172, -994.141, 1422.98, 852.614, Unknown
-115.234, -292.969, 46.875, 318.287, 824.219, Unknown
646.484, -250, 369.141, 785.307, 853.646, Unknown
-976.563, 123.047, -916.016, 1344.58, 926.27, Unknown
-998.047, 224.609, -998.047, 1429.21, 1002.41, Unknown
-41.0156, -82.0313, 29.2969, 96.2794, 955.187, Unknown
617.188, -238.281, 320.313, 735.05, 990.451, Unknown
-998.047, 210.938, -998.047, 1427.13, 1072.59, Unknown
-646.484, -117.188, -814.453, 1046.43, 1126.19, Unknown
177.734, -115.234, 335.938, 397.143, 1142.14, Unknown
371.094, -195.313, 27.3438, 420.244, 1131.08, Unknown
-892.578, 101.563, -882.813, 1259.51, 1195.86, Unknown
-421.875, 17.5781, -480.469, 639.639, 1177.19, Unknown
187.5, -115.234, 554.688, 596.752, 1207.47, Unknown
488.281, 175.781, 17.5781, 519.256, 1210.18, Unknown
-345.703, 275.391, -388.672, 588.572, 1197.37, Unknown
-70.3125, 142.578, -474.609, 500.526, 1200.95, Unknown
-119.141, 212.891, -453.125, 514.625, 1183.59, Unknown
-326.172, 259.766, -876.953, 971.037, 1143.01, Unknown
119.141, 199.219, -23.4375, 233.306, 1136.72, Unknown
-222.656, 216.797, -236.328, 390.42, 1103.95, Unknown
-472.656, -441.406, -66.4063, 650.118, 1046.44, Unknown
130.859, -386.719, -201.172, 455.133, 962.999, Unknown
-181.641, -501.953, -248.047, 588.623, 1006.29, Unknown
-167.969, -398.438, -156.25, 459.761, 981.12, Unknown
-251.953, -375, -226.563, 505.407, 905.924, Unknown
-343.75, -867.188, -513.672, 1064.91, 914.063, Unknown
-279.297, 201.172, 759.766, 834.099, 948.025, Unknown
-95.7031, -349.609, -998.047, 1061.83, 995.226, Unknown
140.625, -460.938, 996.094, 1106.54, 979.709, Unknown
-285.156, 365.234, -998.047, 1100.37, 1020.18, Unknown
314.453, -998.047, -998.047, 1446.06, 1100.91, Unknown
-226.563, 501.953, -3.90625, 550.729, 1103.73, Unknown
97.6563, -144.531, -998.047, 1013.18, 1116.54, Unknown
552.734, -996.094, -519.531, 1252.05, 1193.25, Unknown
-736.328, 52.7344, -132.813, 750.066, 1200.85, Unknown
-251.953, -265.625, -148.438, 395.058, 1156.58, Unknown
-267.578, -582.031, -44.9219, 642.165, 1187.28, Unknown
-37.1094, -419.922, -134.766, 442.576, 1182.62, Unknown
-339.844, 95.7031, 21.4844, 353.715, 1153.54, Unknown
365.234, -562.5, 130.859, 683.32, 1172.42, Unknown
-126.953, -107.422, 242.188, 293.788, 1147.14, Unknown
19.5313, 181.641, -298.828, 350.247, 1134.77, Unknown
-978.516, -271.484, 839.844, 1317.78, 1203.45, Unknown
-177.734, 998.047, -988.281, 1415.76, 1227.86, Unknown
-998.047, -998.047, 314.453, 1446.06, 1287.33, Unknown
-998.047, -998.047, -537.109, 1510.19, 1347.87, Unknown
830.078, 193.359, -48.8281, 853.699, 1318.68, Unknown
-136.719, -447.266, -177.734, 500.328, 1269.42, Unknown
-125, -121.094, -277.344, 327.427, 1170.14, Unknown
789.063, -511.719, -179.688, 957.478, 1211.7, Unknown
505.859, -304.688, -80.0781, 595.937, 1192.27, Unknown
343.75, -359.375, -78.125, 503.406, 1120.77, Unknown
291.016, -322.266, 56.6406, 437.897, 1106.77, Unknown
109.375, -998.047, -298.828, 1047.55, 1147.89, Unknown
408.203, -291.016, 150.391, 523.39, 1145.4, Unknown
-382.813, -562.5, 210.938, 712.353, 1176.76, Unknown
17.5781, -212.891, -187.5, 284.232, 1174.59, Unknown
-666.016, -210.938, -70.3125, 702.15, 1168.4, Unknown
-291.016, -324.219, 164.063, 465.537, 1185.22, Unknown
-519.531, -89.8438, -5.85938, 527.275, 1191.62, Unknown
-267.578, -240.234, 109.375, 375.864, 1109.81, Unknown
-414.063, -185.547, 308.594, 548.731, 1040.04, Unknown
-808.716, -362.396, 602.722, 1071.74, 1010.22, Unknown

