@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
-210, 440, 850, 979.898, 1500, Walk
-220, 430, 840, 968.969, 1495, Walk
-190, 460, 790, 933.702, 1476.67, Walk
-200, 450, 800, 939.415, 1470, Walk
-240, 440, 820, 961.041, 1476, Walk
-230, 460, 810, 959.479, 1480, Walk
-170, 450, 820, 950.684, 1474.29, Walk
-190, 440, 860, 984.53, 1476.25, Walk
-260, 440, 850, 991.817, 1484.44, Walk
-240, 440, 840, 978.162, 1488, Walk
-180, 460, 820, 957.288, 1485.45, Walk
-510, -170, 1760, 1840.27, 1565, Walk
640, 390, 1110, 1339.33, 1609.23, Walk
1250, 300, 460, 1365.32, 1637.86, Walk
540, 50, 540, 765.31, 1604, Walk
230, -460, 940, 1071.49, 1605.63, Walk
430, -330, 700, 885.325, 1597.06, Walk
980, -370, 790, 1312.02, 1627.22, Walk
720, -290, 1230, 1454.44, 1668.33, Walk
700, -100, 620, 940.425, 1664.44, Walk
340, 20, -20, 341.174, 1605.56, Walk
-70, -640, 1140, 1309.24, 1627.78, Walk
-190, 440, 810, 941.169, 1624.44, Walk
-210, 450, 820, 958.645, 1623.33, Walk
-220, 450, 860, 995.239, 1628.33, Walk
-200, 440, 840, 969.123, 1627.78, Walk
-200, 450, 820, 956.504, 1623.33, Walk
-210, 440, 850, 979.898, 1622.22, Walk
-220, 430, 840, 968.969, 1623.89, Walk
-190, 460, 790, 933.702, 1568.33, Walk
-200, 450, 800, 939.415, 1530, Walk
-240, 440, 820, 961.041, 1501.67, Walk
-230, 460, 810, 959.479, 1522.22, Walk
-170, 450, 820, 950.684, 1511.67, Walk
-190, 440, 860, 984.53, 1513.33, Walk
-260, 440, 850, 991.817, 1480.56, Walk
-240, 440, 840, 978.162, 1440.56, Walk
-180, 460, 820, 957.288, 1442.78, Walk
330, 420, 730, 904.544, 1503.89, Walk
420, 330, -260, 594.054, 1457.22, Walk
710, -530, 1460, 1707.81, 1527.22, Walk
1110, -470, 1560, 1971.45, 1619.44, Walk
700, -130, 410, 821.584, 1603.33, Walk
20, -20, -80, 84.8528, 1527.78, Walk
