@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
-580.078, 62.5, -175.781, 609.341, 818.359, Walk
-230.469, -253.906, -27.3438, 343.994, 665.039, Walk
-546.875, 9.76563, -160.156, 569.928, 682.292, Walk
-410.156, -125, -15.625, 429.066, 649.414, Walk
-500, -80.0781, -37.1094, 507.73, 642.969, Walk
-439.453, 21.4844, 11.7188, 440.134, 614.583, Walk
-513.672, -7.8125, -54.6875, 516.634, 609.096, Walk
-437.5, -261.719, -457.031, 684.675, 677.49, Walk
-291.016, 410.156, 205.078, 543.116, 702.908, Walk
-439.453, -134.766, -142.578, 481.258, 704.297, Walk
-253.906, 66.4063, -320.313, 414.099, 698.509, Walk
-359.375, 1.95313, -332.031, 489.284, 698.079, Walk
-261.719, -64.4531, -332.031, 427.663, 695.012, Walk
-236.328, -60.5469, -271.484, 364.994, 685.965, Walk
-333.984, -46.875, -292.969, 446.737, 685.156, Walk
-349.609, 41.0156, -410.156, 540.497, 692.383, Walk
-351.563, -191.406, -345.703, 528.908, 703.929, Walk
-343.75, 177.734, -404.297, 559.651, 716.254, Walk
-431.641, -70.3125, -226.563, 492.532, 711.263, Walk
-406.25, -234.375, -265.625, 539.006, 733.181, Walk
-347.656, 19.5313, -289.063, 452.552, 729.818, Walk
-437.5, 25.3906, -222.656, 491.555, 737.305, Walk
-429.688, 50.7813, -175.781, 467.022, 739.475, Walk
-433.594, 119.141, -207.031, 495.035, 755.425, Walk
-398.438, -7.8125, -185.547, 439.592, 756.293, Walk
-400.391, 109.375, -183.594, 453.853, 730.577, Walk
-425.781, 123.047, -80.0781, 450.381, 715.169, Walk
-417.969, -17.5781, -238.281, 481.44, 712.782, Walk
-419.922, 179.688, -132.813, 475.669, 717.882, Walk
-382.813, 115.234, -152.344, 427.824, 715.495, Walk
-404.297, 167.969, -99.6094, 448.989, 716.254, Walk
-410.156, 85.9375, -183.594, 457.515, 722.439, Walk
-433.594, 111.328, -80.0781, 454.764, 719.727, Walk
-445.313, 138.672, -162.109, 493.774, 716.688, Walk
-423.828, 76.1719, -156.25, 458.09, 703.776, Walk
-439.453, 146.484, -144.531, 485.248, 692.925, Walk
-423.828, 123.047, -197.266, 483.409, 693.793, Walk
-437.5, 109.375, -228.516, 505.558, 686.523, Walk
-388.672, 216.797, -179.688, 479.952, 693.685, Walk
-460.938, 132.813, -74.2188, 485.398, 692.708, Walk
