2 0.88 -9.76 -6.36 29.11
-0.17 -0.03 0.85 -4.76 -13.67 25.12
-0.21 0.06 0.93 -11.27 -11.61 19.23
-0.18 0.05 1.01 -1.22 3.54 15.11
-0.19 0.05 0.93 -6.10 8.55 22.71
-0.23 0.05 0.90 -5.32 12.57 13.13
-0.28 0.02 0.99 -4.39 2.52 12.77
-0.25 -0.01 1.01 -2.94 -11.82 15.72
-0.14 -0.03 0.97 3.20 -12.56 9.28
-0.22 0.03 0.97 3.43 11.70 21.35
-0.32 0.02 0.90 2.36 20.22 39.67
-0.29 -0.03 1.05 5.78 -7.59 35.17
-0.20 -0.01 1.02 10.19 -9.67 9.99
-0.21 0.09 0.88 -6.05 15.92 9.01
-0.16 -0.10 0.90 2.91 12.50 -24.39
-0.22 -0.02 0.93 3.95 -23.14 -39.51
-0.20 0.00 0.94 -0.03 -32.26 -32.07
-0.25 0.06 1.05 -2.03 -17.38 -34.65
-0.14 -0.04 0.95 12.67 -37.81 -52.91
-0.08 -0.02 0.98 3.92 -99.76 -35.16
0.02 0.07 1.08 -3.70 -97.66 -17.37
0.12 -0.02 1.05 14.50 -59.17 -21.06
0.53 -0.01 0.55 -3.37 -39.70 -57.45
0.52 0.09 0.73 -23.31 216.46 -112.01
-0.15 0.03 0.94 -2.01 229.69 -128.55
-0.93 -0.14 0.66 -14.62 249.99 -23.84
-0.87 -0.41 1.14 -17.91 83.23 122.40
-0.68 -0.06 0.80 -1.45 29.46 18.98
-0.50 0.03 0.67 -17.08 -33.87 11.69
-0.60 0.03 0.7%ÁU¿*R9 -19.71 -12.44 13.34
-0.54 -0.11 0.78 -17.32 -57.07 47.49
-0.53 -0.06 0.83 -3.43 -44.87 50.60
-0.34 0.03 0.88 -19.85 -64.20 44.98
-0.36 -0.13 0.87 3.36 -23.09 44.29
-0.29 -0.09 0.86 23.56 -42.24 37.08
-0.26 0.13 1.02 -23.99 -7.40 37.02
-0.37 0.12 0.86 -21.69 -51.12 66.67
-0.18 0.05 0.73 -9.46 -56.01 78.74
-0.11 0.13 0.87 -24.19 18.54 88.99
-0.53 0.20 0.90 -51.61 87.46 70.35
-0.67 0.08 0.91 -43.69 23.64 47.12
-0.52 -0.03 0.94 -11.54 -43.15 13.87
-0.38 -0.05 1.03 3.21 -83.06 -6.30
-0.19 -0.04 0.91 10.77 -82.97 -2.57
-0.06 0.03 0.78 -3.14 -57.33 5.14
0.06 -0.04 0.95 3.04 -39.14 -5.41
0.00 -0.01 1.01 18.54 25.27 -4.30
-0.05 0.01 0.97 9.99 32.43 -25.18
-0.12 0.10 0.89 1.69 34.52 -28.65
-0.11 -0.01 0.92 18.32 53.51 -22.15
-0.39 -0.04 0.98 24.06 41.47 -20.69
-0.27 0.05 0.92 15.68 -11.56 -13.73
-0.21 0.05 0.94 13.24 1.55 -6.00
-0.24 0.03 0.94 13.40 16.20 -0.50
-0.30 0.06 0.90 1.19 5.93 -2.57
-0.22 0.10 0.96 -9.57 -2.31 -0.35
-0.25 0.08 0.93 2.01 -10.22 3.59
-0.20 0.00 0.96 1.51 5.52 3.75
-0.29 0.08 0.90 -3.23 8.90 1%ÁT¡*R.06
-0.28 0.10 0.98 5.44 -5.19 6.61
-0.24 0.00 0.89 2.14 1.92 5.39
-0.25 0.14 0.89 -3.17 0.42 0.20
-0.24 0.04 0.94 -7.61 4.06 1.43
-0.27 0.11 0.94 -3.52 2.49 0.79
-0.25 0.06 0.91 -2.18 3.11 -0.40
-0.27 0.06 0.93 -2.59 3.33 -0.12
-0.25 0.08 0.90 -3.56 -4.17 -1.04
-0.24 0.05 0.93 0.51 6.81 -0.20
-0.26 0.07 0.93 0.04 4.10 -0.88
-0.25 0.06 0.93 -1.45 1.43 -2.12
-0.26 0.05 0.96 2.08 6.55 -2.23
-0.27 0.07 0.92 1.46 0.62 -2.38
-0.25 0.06 0.91 0.89 1.54 -1.49
-0.25 0.05 0.92 -1.46 2.06 -0.58
-0.28 0.06 0.91 0.80 7.73 0.98
-0.26 0.06 0.92 -1.29 -1.39 -1.40
-0.25 0.03 0.93 -0.41 1.40 2.40
-0.27 0.06 0.91 0.01 1.22 1.54
-0.28 0.06 0.91 -1.20 -2.23 0.47
-0.26 0.05 0.94 1.08 2.69 -0.62
-0.27 0.07 0.93 -0.85 1.25 -0.42
-0.25 0.04 0.91 0.97 1.24 -1.02
-0.28 0.07 0.93 1.02 5.66 -0.56
-0.26 0.05 0.93 0.09 -0.14 -1.83
-0.27 0.05 0.92 1.73 1.65 -1.58
-0.27 0.06 0.91 0.64 2.48 -2.43
-0.26 0.04 0.90 2.95 8.30 -2.20
-0.26 0.06 0.90 0.49 4.00 -4.56
-0.30 0.06 0.94 0.37 3.14 -0.60
-0.28 0.06 0.93 -0.15 0.27 -1.26
-0.27 0.07 0.90 0.9%ÁT¡*R0 2.70 -0.72
-0.27 0.05 0.91 -0.31 -0.18 -1.53
-0.28 0.05 0.91 1.50 5.68 0.73
-0.28 0.07 0.91 0.34 3.68 -1.65
-0.29 0.04 0.93 1.84 1.92 0.37
-0.28 0.08 0.91 -0.34 -1.01 0.04
-0.27 0.04 0.92 1.04 1.32 1.03
-0.28 0.06 0.90 0.86 3.67 -0.56
-0.28 0.06 0.94 -3.07 -3.30 3.21
-0.33 0.06 0.99 -2.12 -6.10 3.79
-0.21 0.24 1.28 -24.95 -149.86 41.56
0.21 0.10 0.18 -47.36 10.44 18.42
-0.90 0.12 0.95 -50.32 135.77 71.34
-0.18 -0.43 1.08 39.61 -161.73 61.07
0.13 0.05 0.59 21.50 -0.36 19.33
-0.06 0.10 0.91 12.86 75.07 16.11
-0.20 0.05 1.01 10.50 48.29 -18.16
-0.19 0.11 0.91 6.31 17.54 -17.36
-0.18 0.13 0.94 6.61 39.22 -26.66
-0.35 0.13 0.96 6.00 20.58 -30.09
-0.24 0.03 0.92 10.63 -3.30 -25.91
-0.28 0.10 0.90 8.56 18.25 -5.70
