@relation .\arff\sample00.arff

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
0.47, 0.62, 0.7, -0.71, 0.9, 0.04, 1.04657, 1.14704, 1.79, 1.65, 45.573
0.47, 0.62, 0.69, 0.5, 1.93, 0.34, 1.0399, 2.0225, 1.785, 2.21, 46.3699
0.47, 0.61, 0.69, 0.35, 1.87, 0.39, 1.03397, 1.94204, 1.78, 2.34333, 46.3699
0.47, 0.62, 0.69, 0.5, 0.5, 0.76, 1.0399, 1.03808, 1.78, 2.1975, 46.3699
0.47, 0.61, 0.69, 1.94, 0.99, 0.55, 1.03397, 2.24637, 1.778, 2.454, 46.3699
0.47, 0.61, 0.69, 4.52, 0.11, -0.12, 1.03397, 4.52293, 1.77667, 2.83667, 46.3699
0.45, 0.61, 0.7, 5.49, -2.47, -1.02, 1.03179, 6.10585, 1.77429, 3.71429, 45.573
0.46, 0.6, 0.69, 11.91, -6.25, 2.01, 1.02357, 13.5997, 1.77125, 5.77125, 46.3699
0.49, 0.61, 0.69, 16.95, -6.36, -0.35, 1.04322, 18.1073, 1.77333, 7.75889, 46.3699
0.5, 0.6, 0.68, 26.25, -4.6, -3.42, 1.03557, 26.8685, 1.774, 10.41, 47.1564
0.49, 0.69, 0.63, 24.51, -8.71, -4.78, 1.05504, 26.4472, 1.77727, 12.9182, 50.9499
0.49, 0.68, 0.61, 17.82, -1.17, 3.91, 1.03663, 18.2814, 1.7775, 13.75, 52.4105
0.48, 0.66, 0.66, 21.1, -8.77, 9.05, 1.04957, 24.5769, 1.77923, 15.6862, 48.7001
0.52, 0.71, 0.57, 30.04, -9.26, 14, 1.04852, 34.4115, 1.78071, 18.3729, 55.2498
0.49, 0.71, 0.61, 25.22, -6.57, 17.74, 1.05655, 31.5265, 1.78267, 20.45, 52.4105
0.52, 0.67, 0.58, 19.81, -15.73, 16.7, 1.02747, 30.311, 1.78187, 22.4369, 54.5495
0.57, 0.68, 0.58, 20.81, -7.21, 13.08, 1.06005, 25.615, 1.78471, 23.5347, 54.5495
0.53, 0.71, 0.56, 20.39, -7.51, 10.12, 1.04814, 23.9701, 1.78556, 24.3394, 55.9442
0.59, 0.75, 0.45, 8.22, -4.68, 6.07, 1.05504, 11.239, 1.78579, 24.0568, 63.2563
0.53, 0.74, 0.52, 3.71, -12.34, 7.66, 1.04828, 14.9905, 1.786, 24.0395, 58.6677
0.59, 0.73, 0.53, 6.08, -8.3, 7.55, 1.07791, 12.7616, 1.78905, 23.939, 57.9945
0.55, 0.69, 0.53, 9.04, -0.92, 7.71, 1.02932, 11.9169, 1.78818, 23.6541, 57.9945
0.58, 0.7, 0.51, 5.52, -10.38, 3.69, 1.04235, 12.322, 1.78826, 23.4774, 59.3362
0.57, 0.75, 0.48, -1.1, -9.92, 3.5, 1.05726, 10.5767, 1.78875, 23.1042, 61.3146
0.6, 0.69, 0.54, -0.78, -11.01, 5.2, 1.06193, 12.2012, 1.7904, 22.8596, 57.3164
0.6, 0.7, 0.54, 4.18, -3.52, 2.55, 1.06846, 6.03036, 1.79231, 22.3746, 57.3164
0.6, 0.71, 0.49, 5.06, -6.47, 3.11, 1.05081, 8.78274, 1.79259, 22.0881, 60.6594
0.59, 0.71, 0.49, -2.11, -9.61, 4.1, 1.04513, 10.659, 1.7925, 21.8643, 60.6594
0.63, 0.72, 0.49, -6.45, -0.43, -0.5, 1.0749, 6.48363, 1.79414, 21.3648, 60.6594
0.59, 0.66, 0.56, -3.72, 7.77, -0.73, 1.04752, 8.64547, 1.79467, 21.06, 55.9442
0.54, 0.69, 0.51, -0.27, 1.75, -1.17, 1.0138, 2.12233, 1.793, 21.1113, 59.3362
0.57, 0.69, 0.51, 0.72, -1.1, 1.46, 1.0301, 1.96469, 1.79267, 21.1283, 59.3362
0.59, 0.72, 0.51, -0.05, -2.21, 0.45, 1.06141, 2.2559, 1.79433, 21.1317, 59.3362
0.59, 0.71, 0.53, 2.27, -2.18, 3.74, 1.06447, 4.88804, 1.796, 21.346, 57.9945
0.62, 0.69, 0.48, 2.59, 1, 4.23, 1.04446, 5.05974, 1.79667, 21.4907, 61.3146
0.6, 0.71, 0.5, 1.82, 0.63, 4.9, 1.05551, 5.26491, 1.798, 21.5773, 60
0.63, 0.68, 0.51, 0.63, -1.46, 3.63, 1.05802, 3.963, 1.8, 21.4687, 59.3362
0.6, 0.7, 0.51, 0.05, -2.14, 1.34, 1.05361, 2.52541, 1.802, 20.914, 59.3362
0.61, 0.69, 0.5, -0.53, -2.64, 2.1, 1.04795, 3.41475, 1.80233, 20.301, 60
0.61, 0.69, 0.5, -0.7, -2.34, 1.37, 1.04795, 2.80045, 1.803, 19.3057, 60
0.61, 0.7, 0.5, -1.64, -2.68, 2.32, 1.05456, 3.90569, 1.803, 18.2603, 60
0.63, 0.69, 0.49, -1.21, -2.66, 0.73, 1.05504, 3.01208, 1.804, 17.6503, 60.6594
0.61, 0.69, 0.5, -2.36, -1.59, 0.43, 1.04795, 2.87795, 1.804, 16.499, 60
0.61, 0.7, 0.5, -5.65, 4.43, -1.91, 1.05456, 7.42937, 1.80433, 15.122, 60
0.59, 0.68, 0.54, -3.98, 3.72, -1.36, 1.04981, 5.61502, 1.80433, 13.773, 57.3164
0.59, 0.68, 0.51, -1.19, 4.3, -0.44, 1.0347, 4.48327, 1.80467, 12.2293, 59.3362
0.58, 0.69, 0.52, 0.49, 2.21, 0.97, 1.04062, 2.46274, 1.80333, 10.9817, 58.6677
0.62, 0.7, 0.49, 0.27, 2.09, 2.47, 1.0557, 3.24683, 1.80367, 9.87533, 60.6594
0.61, 0.69, 0.49, 0.41, 1.75, 2.49, 1.04322, 3.07094, 1.80367, 9.398, 60.6594
0.6, 0.72, 0.5, -0.12, 1.01, 2.83, 1.06226, 3.00722, 1.80467, 8.73967, 60
0.6, 0.68, 0.51, -0.73, 0.34, 2.14, 1.04043, 2.2865, 1.80267, 8.11567, 59.3362
0.61, 0.7, 0.51, -2.78, 1.66, 1.13, 1.05934, 3.42942, 1.80433, 7.71233, 59.3362
0.61, 0.68, 0.52, -2.04, -0.5, 0.41, 1.05114, 2.14002, 1.805, 7.15767, 58.6677
0.61, 0.68, 0.5, -0.25, 1.7, 0.3, 1.04139, 1.74428, 1.80467, 6.74867, 60
0.62, 0.7, 0.51, -0.76, -0.08, 1.66, 1.06513, 1.82746, 1.80467, 6.26567, 59.3362
0.6, 0.68, 0.52, -1.08, 1.08, 1.3, 1.04537, 2.00569, 1.80333, 6.03933, 58.6677
0.61, 0.69, 0.51, -2.24, 2.16, 0.95, 1.05276, 3.25357, 1.80367, 5.72967, 59.3362
0.6, 0.69, 0.53, -3.76, 5.25, 0.88, 1.05688, 6.51725, 1.80467, 5.532, 57.9945
0.61, 0.68, 0.53, -2.29, 4.29, 0.48, 1.05612, 4.88657, 1.804, 5.52133, 57.9945
0.6, 0.69, 0.54, -2.94, 3.94, -0.52, 1.06193, 4.94344, 1.80467, 5.36067, 57.3164
0.6, 0.7, 0.53, -2.75, 5.52, 0.51, 1.06344, 6.18813, 1.80767, 5.547, 57.9945
0.59, 0.7, 0.55, -1.75, 9.8, 2.55, 1.06799, 10.2764, 1.81, 5.90767, 56.633
0.63, 0.71, 0.53, 9.24, 9.72, 11.25, 1.08715, 17.5048, 1.81167, 6.82433, 57.9945
0.62, 0.68, 0.51, -5.77, 24.63, -3.11, 1.05209, 25.4873, 1.811, 7.66833, 59.3362
0.6, 0.67, 0.58, -13.26, 38.46, -10.75, 1.07019, 42.078, 1.813, 9.49, 54.5495
