@relation exp_4th_06

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
0.2, -0.17, 1.06, -6.72, 24.73, -29.17, 1.09202, 38.8281, 1.43, 60.62, 86.5602
0.54, -0.23, 0.93, -21.71, -17.12, -60.15, 1.09973, 66.2, 1.565, 79.8, 21.5652
0.53, -0.16, 0.72, -19.36, 40.29, -53.25, 0.90824, 69.5245, 1.51333, 90.8333, 43.9455
0.41, -0.33, 0.9, -17.87, 90.67, -30.23, 1.04259, 97.2329, 1.545, 102.817, 25.8419
0.39, -0.29, 0.83, -17.69, 56.08, -72.17, 0.961821, 93.0936, 1.538, 111.442, 33.9013
0.39, -0.26, 0.87, -24.4, 60.28, -76.27, 0.988231, 100.23, 1.535, 119.693, 29.5414
0.27, -0.37, 0.94, 4.66, 43.33, -80.41, 1.04566, 91.4602, 1.54143, 120.937, 19.9484
0.34, -0.03, 0.65, -62.25, -51.38, -119.58, 0.734166, 144.272, 1.47625, 134.971, 49.4584
0.58, -0.26, 0.78, -9.84, 43.89, -87.4, 1.00618, 98.2951, 1.49222, 135.656, 38.7394
0.27, -0.26, 0.91, -46.03, 9.39, -49.64, 0.984175, 68.3452, 1.487, 132.596, 24.4946
0.34, -0.41, 0.87, -48.65, 26, -51.22, 1.0201, 75.2749, 1.49909, 131.985, 29.5414
0.21, -0.36, 0.72, -20.89, -14.79, -5.58, 0.831925, 26.1968, 1.48167, 124.424, 43.9455
0.2, -0.19, 0.83, -9.67, 10.49, 6.39, 0.874643, 15.6327, 1.46154, 116.895, 33.9013
0.26, -0.35, 0.96, 25.44, -9.99, -2.37, 1.05437, 27.4337, 1.46929, 111.246, 16.2602
0.28, -0.27, 0.99, 9.28, -7.82, 7.32, 1.06367, 14.1723, 1.474, 105.457, 8.10961
0.34, -0.19, 0.87, 13.67, -10.7, -4.6, 0.953205, 17.9588, 1.46937, 100.677, 29.5414
