@relation .\sit1.out.txt

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
0.13, 0.52, 0.59, 0, 0, 0, 0.79712, 0, 0.0413333, 0, 53.843
-0.12, 0.6, 0.84, 3.1, 14.98, 6.73, 1.03923, 16.7124, 0.0933333, 0.827, 32.8599
-0.13, 0.6, 0.81, 3.36, 17.46, 0.82, 1.01637, 17.7993, 0.144667, 1.54833, 35.9041
-0.04, 0.56, 0.8, 4.36, 17.57, 0.34, 0.977343, 18.1061, 0.191333, 2.29067, 36.8699
-0.06, 0.62, 0.76, 2.23, 4.49, 0.29, 0.982649, 5.02166, 0.239333, 2.52433, 40.5358
-0.08, 0.54, 0.81, 9.76, 7.76, 0.47, 0.97678, 12.4778, 0.287, 3.124, 35.9041
-0.04, 0.58, 0.81, 0.06, 6.29, 0.39, 0.997046, 6.30236, 0.334667, 3.34867, 35.9041
-0.01, 0.61, 0.77, 0.4, 9.18, 0.94, 0.982395, 9.23667, 0.381, 3.69933, 39.6461
-0.02, 0.61, 0.8, 6.29, 2.69, 0.6, 1.00623, 6.86733, 0.428667, 4.01867, 36.8699
-0.03, 0.58, 0.81, 2.77, 10.89, 0.91, 0.996695, 11.2736, 0.476, 4.50433, 35.9041
-0, 0.59, 0.81, 3.27, 12.9, 0.29, 1.0021, 13.3112, 0.522667, 5.053, 35.9041
0.03, 0.6, 0.8, 1.66, 5.27, 0, 1.00045, 5.52526, 0.570333, 5.284, 36.8699
0.02, 0.58, 0.79, 0.18, 1.74, 0.95, 0.980255, 1.9906, 0.616667, 5.37967, 37.8145
0.03, 0.58, 0.81, 0.35, 5.88, 0.99, 0.996695, 5.97302, 0.664, 5.62033, 35.9041
0.04, 0.58, 0.82, 2.62, 4.24, 0.55, 1.00519, 5.01443, 0.712, 5.86733, 34.9152
0.04, 0.56, 0.83, 1.31, 0.23, 0.86, 1.00205, 1.58386, 0.759667, 5.94733, 33.9013
0.05, 0.57, 0.8, 0.09, 0.89, 0.86, 0.983565, 1.24089, 0.807, 6.00867, 36.8699
0.03, 0.59, 0.83, 0.34, 3.61, 1.23, 1.01877, 3.82892, 0.855333, 6.18133, 33.9013
0.01, 0.58, 0.82, 0.03, 1.1, 0.8, 1.00444, 1.36048, 0.902333, 6.24567, 34.9152
0.01, 0.56, 0.82, 1.91, 0.46, 0.75, 0.993026, 2.1029, 0.948667, 6.34967, 34.9152
0.03, 0.58, 0.83, 1.95, 3.81, 0.52, 1.01302, 4.3115, 0.996667, 6.559, 33.9013
0.03, 0.57, 0.82, 0.21, 0.63, 0.02, 0.9991, 0.664379, 1.044, 6.58767, 34.9152
0.03, 0.58, 0.82, 2.22, 0.41, 0.83, 1.00484, 2.40529, 1.09167, 6.703, 34.9152
0.03, 0.56, 0.82, 1.45, 0.2, 0.99, 0.993428, 1.76709, 1.13867, 6.791, 34.9152
0.02, 0.58, 0.82, 0.24, 2.76, 0.59, 1.00459, 2.83254, 1.186, 6.91067, 34.9152
0.02, 0.6, 0.81, 2.54, 0.48, 0.8, 1.00822, 2.70592, 1.23367, 7.038, 35.9041
0.01, 0.57, 0.84, 3.01, 0.28, 0.69, 1.01518, 3.10074, 1.281, 7.17067, 32.8599
0.01, 0.56, 0.82, 1.27, 0.7, 0.56, 0.993026, 1.55451, 1.32733, 7.255, 34.9152
0.03, 0.57, 0.83, 0.13, 0.36, 0.92, 1.00732, 0.996444, 1.375, 7.302, 33.9013
0.04, 0.57, 0.79, 0.6, 0.85, 0.72, 0.974987, 1.26527, 1.42167, 7.37433, 37.8145
0.03, 0.58, 0.83, 3.5, 0.2, 0.37, 1.01302, 3.52518, 1.42833, 7.51, 33.9013
0.01, 0.58, 0.83, 0.45, 0.87, 0.15, 1.01262, 0.990909, 1.42367, 6.732, 33.9013
0.02, 0.57, 0.82, 0.46, 0.83, 0.12, 0.998849, 0.956504, 1.41933, 6.05767, 34.9152
0.03, 0.58, 0.83, 0.81, 1.44, 0.24, 1.01302, 1.66952, 1.42067, 5.39833, 33.9013
0.03, 0.58, 0.81, 0.25, 0.5, 0.43, 0.996695, 0.705266, 1.42, 5.204, 35.9041
