@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
-180, -390, 560, 705.762, 1130, Active
-1950, 350, 2000, 2815.14, 2715, Active
-110, 160, -90, 214.009, 1930, Active
580, -60, 440, 730.479, 1717.5, Active
540, 400, 1390, 1543.92, 1840, Active
140, 50, -210, 257.294, 1600, Active
-70, -350, 200, 409.145, 1460, Active
-2000, 180, 2000, 2834.15, 1800, Active
-210, 200, -70, 298.329, 1653.33, Active
540, 60, -230, 590, 1571, Active
830, 420, 1480, 1748.06, 1676.36, Active
250, 40, -170, 304.959, 1575, Active
-70, -290, -120, 321.559, 1490.77, Active
-2000, 260, 2000, 2840.35, 1688.57, Active
-250, 150, -30, 293.087, 1604.67, Active
540, -120, 290, 624.58, 1563.75, Active
920, 450, 1070, 1481.15, 1615.29, Active
240, 80, -220, 335.261, 1555.56, Active
-80, -360, 0, 368.782, 1517.22, Active
-2000, 40, 2000, 2828.71, 1502.78, Active
-270, 220, 60, 353.412, 1513.33, Active
690, -160, 640, 954.62, 1536.11, Active
30, 110, -150, 188.414, 1422.78, Active
-200, -220, -90, 310.644, 1428.89, Active
-1840, 220, 2000, 2726.54, 1620, Active
-190, 180, -90, 276.767, 1413.33, Active
480, -60, 80, 490.306, 1421.11, Active
1240, 410, 1250, 1807.82, 1536.11, Active
180, 110, -230, 312.09, 1413.33, Active
-70, -330, 90, 349.142, 1415, Active
-2000, 420, 2000, 2859.44, 1633.89, Active
-150, 160, -90, 237.065, 1419.44, Active
620, -260, 1930, 2043.75, 1551.67, Active
740, 270, 1000, 1272.99, 1610.56, Active
10, 80, -210, 224.944, 1491.67, Active
-270, -320, 1380, 1442.12, 1571.11, Active
-1620, 410, 1480, 2232.24, 1741.67, Active
10, 70, -140, 156.844, 1529.44, Active
560, -460, 2000, 2127.25, 1666.67, Active
530, 150, 600, 814.494, 1655, Active
-30, -70, -260, 270.924, 1658.89, Active
-1400, -480, 2000, 2488.05, 1846.11, Active
-1030, 360, 670, 1280.39, 1735, Active
280, 0, -90, 294.109, 1730, Active
660, -1000, 2000, 2331.44, 1898.89, Active
500, 180, 80, 537.401, 1780, Active
20, -180, -230, 292.746, 1775, Active
-1270, -1080, 980, 1933.83, 1932.78, Active
-830, 380, 320, 967.316, 1772.22, Active
410, -70, -50, 418.927, 1779.44, Active
1070, 1200, -150, 1614.74, 1757.78, Active
740, 270, 1000, 1272.99, 1757.78, Active
10, 80, -210, 224.944, 1757.78, Active
-270, -320, 1380, 1442.12, 1757.78, Active
-1620, 410, 1480, 2232.24, 1757.78, Active
10, 70, -140, 156.844, 1757.78, Active
560, -460, 2000, 2127.25, 1757.78, Active
-100, -300, -90, 328.786, 1713.89, Active
-1970, 100, 2000, 2809.07, 1920, Active
-190, 200, -50, 280.357, 1728.89, Active
610, 90, 780, 994.284, 1696.67, Active
930, 290, 830, 1279.8, 1790, Active
180, -50, -310, 361.939, 1616.67, Active
-340, -740, 2000, 2159.44, 1745.56, Active
-1750, 720, 1160, 2219.57, 1923.33, Active
70, 40, -100, 128.452, 1750, Active
380, -940, 2000, 2242.32, 1849.44, Active
540, 160, 210, 601.082, 1870.56, Active
740, 270, 1000, 1272.99, 1847.78, Active
10, 80, -210, 224.944, 1752.78, Active
-270, -320, 1380, 1442.12, 1845.56, Active
-1620, 410, 1480, 2232.24, 1931.11, Active
10, 70, -140, 156.844, 1748.33, Active
560, -460, 2000, 2127.25, 1903.89, Active
-20, -130, -240, 273.679, 1757.78, Active
-1360, -970, 1660, 2355.02, 1952.22, Active
-700, 320, 140, 782.304, 1790.56, Active
380, 0, -160, 412.311, 1796.11, Active
750, 1410, -460, 1661.99, 1859.44, Active
330, 110, -310, 465.94, 1787.22, Active
-10, -350, -90, 361.525, 1782.22, Active
-1820, 120, 2000, 2706.81, 1830, Active
-330, 210, -80, 399.249, 1662.78, Active
580, 80, 660, 882.27, 1724.44, Active
940, 370, 810, 1294.84, 1657.78, Active
100, 10, -250, 269.444, 1627.22, Active
740, 270, 1000, 1272.99, 1627.22, Active
10, 80, -210, 224.944, 1627.22, Active
-270, -320, 1380, 1442.12, 1627.22, Active
-1620, 410, 1480, 2232.24, 1627.22, Active
10, 70, -140, 156.844, 1627.22, Active
560, -460, 2000, 2127.25, 1627.22, Active
-240, -520, 2000, 2080.38, 1758.89, Active
-1520, 450, 1500, 2182.41, 1730, Active
-70, 60, -130, 159.374, 1680, Active
610, -100, 2000, 2093.35, 1800.56, Active
750, 300, 500, 950, 1741.11, Active
100, -110, -300, 334.813, 1727.78, Active
-1250, -780, 2000, 2484.13, 1926.67, Active
-1380, 670, 540, 1626.31, 1851.67, Active
150, 30, 0, 152.971, 1827.22, Active
670, -680, 30, 955.092, 1830.56, Active
390, 120, -210, 458.912, 1752.78, Active
-10, -290, -80, 300.998, 1753.89, Active
740, 270, 1000, 1272.99, 1753.89, Active
10, 80, -210, 224.944, 1753.89, Active
-270, -320, 1380, 1442.12, 1753.89, Active
-1620, 410, 1480, 2232.24, 1753.89, Active
10, 70, -140, 156.844, 1753.89, Active
560, -460, 2000, 2127.25, 1753.89, Active
-2000, 280, 1780, 2691.99, 1826.11, Active
-350, 270, -120, 458.039, 1674.44, Active
490, 280, -110, 574.978, 1708.89, Active
1260, 310, 740, 1493.75, 1686.67, Active
220, -80, -320, 396.485, 1635, Active
-1000, -880, 2000, 2403, 1822.22, Active
-1300, 750, 400, 1553.22, 1734.44, Active
130, 220, -10, 255.734, 1610.56, Active
990, -330, -210, 1064.47, 1685.56, Active
570, 10, -230, 614.736, 1653.89, Active
50, -370, -90, 384.057, 1642.22, Active
740, 270, 1000, 1272.99, 1732.78, Active
10, 80, -210, 224.944, 1637.78, Active
-270, -320, 1380, 1442.12, 1730.56, Active
-1620, 410, 1480, 2232.24, 1816.11, Active
10, 70, -140, 156.844, 1633.33, Active
560, -460, 2000, 2127.25, 1788.89, Active
-410, 360, -110, 556.597, 1670, Active
470, 240, -50, 530.094, 1486.67, Active
1380, 180, 770, 1590.5, 1575, Active
360, -90, -300, 477.179, 1567.78, Active
-640, -940, 2000, 2300.7, 1638.33, Active
-1570, 670, 500, 1778.71, 1756.11, Active
20, 100, -40, 109.545, 1549.44, Active
480, -1090, 1670, 2051.19, 1593.33, Active
990, -120, -170, 1011.63, 1644.44, Active
70, -220, -120, 260.192, 1582.22, Active
-1620, -480, 1750, 2432.55, 1751.11, Active
740, 270, 1000, 1272.99, 1834.44, Active
10, 80, -210, 224.944, 1739.44, Active
-270, -320, 1380, 1442.12, 1832.22, Active
-1620, 410, 1480, 2232.24, 1917.78, Active
10, 70, -140, 156.844, 1735, Active
560, -460, 2000, 2127.25, 1890.56, Active
390, -10, 670, 775.306, 1782.22, Active
1480, 980, 590, 1870.53, 1902.78, Active
220, 130, -160, 301.496, 1888.89, Active
-10, -550, 1660, 1748.77, 1882.78, Active
-1830, 660, 1940, 2747.38, 2087.22, Active
-110, 120, -130, 208.327, 1908.33, Active
-920, 290, 1250, 1578.92, 1892.78, Active
-20, 120, 80, 145.602, 1896.11, Active
880, -420, 1460, 1755.68, 1869.44, Active
980, -230, 550, 1147.08, 1896.11, Active
90, 70, -160, 196.469, 1891.11, Active
-710, -180, 1500, 1669.28, 1810, Active
-1580, -60, 2000, 2549.51, 1900.56, Active
-310, 190, 200, 414.97, 1922.78, Active
330, -80, 70, 346.699, 1840, Active
1180, 350, 1930, 2289.06, 1837.22, Active
420, 130, 420, 608.03, 1878.89, Active
-50, -70, -130, 155.885, 1725, Active
-1250, 510, 1120, 1754.14, 1825.56, Active
100, 140, -100, 198.997, 1675, Active
1110, -290, 2000, 2305.69, 1835.56, Active
660, -200, 1280, 1453.96, 1831.11, Active
130, 60, -170, 222.261, 1605, Active
-160, -210, -130, 294.279, 1612.78, Active
-1320, -420, 1140, 1793.99, 1636.11, Active
-390, 200, 440, 621.048, 1681.11, Active
210, 30, -80, 226.716, 1545.56, Active
1050, -230, 420, 1154.04, 1542.22, Active
900, 130, 380, 985.546, 1602.78, Active
60, 30, -220, 230, 1487.22, Active
-320, -310, 610, 755.381, 1353.89, Active
-1160, 240, 2000, 2324.48, 1503.89, Active
-90, 190, 130, 247.184, 1500, Active
400, -50, -60, 407.554, 1336.11, Active
1070, 200, 1760, 2069.42, 1450.56, Active
360, 60, 230, 431.393, 1472.78, Active
-80, -120, -140, 200.998, 1331.67, Active
-1220, -590, 1490, 2014.1, 1496.11, Active
-800, 300, 910, 1248.24, 1418.89, Active
70, 20, -130, 148.997, 1312.22, Active
720, -550, 2000, 2195.65, 1473.89, Active
850, 190, 270, 911.866, 1518.89, Active
-10, 30, -130, 133.791, 1368.33, Active
-560, -490, 2000, 2133.94, 1480.56, Active
-1270, 360, 1940, 2346.51, 1661.11, Active
570, -50, -150, 591.523, 1609.44, Active
1380, 360, 900, 1686.42, 1677.78, Active
260, 110, -20, 283.019, 1682.22, Active
-100, -190, -80, 229.129, 1633.89, Active
-1550, -610, 1000, 1942.83, 1620.56, Active
-650, 210, 300, 746.056, 1662.22, Active
320, -70, 40, 330, 1657.78, Active
940, 20, 680, 1160.34, 1580.56, Active
470, 240, 400, 662.193, 1606.11, Active
80, -170, -210, 281.78, 1612.78, Active
-1100, -690, 2000, 2384.55, 1640, Active
-1320, 450, 1160, 1813.97, 1691.11, Active
-20, 70, -80, 108.167, 1688.33, Active
660, -570, 2000, 2181.86, 1686.11, Active
970, 20, 1530, 1811.68, 1753.33, Active
90, 100, -280, 310.644, 1770, Active
