@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
27.3438, -570.313, -294.922, 642.637, 892.578, Unknown
46.875, -498.047, -166.016, 527.076, 801.758, Unknown
-3.90625, -441.406, -41.0156, 443.325, 696.615, Unknown
-7.8125, -451.172, -109.375, 464.306, 664.551, Unknown
-17.5781, -517.578, -353.516, 627.032, 709.375, Unknown
-46.875, -603.516, -712.891, 935.223, 818.359, Unknown
-1.95313, -343.75, -150.391, 375.214, 772.321, Unknown
13.6719, -533.203, 66.4063, 537.496, 752.441, Unknown
-66.4063, -460.938, -230.469, 519.605, 753.038, Unknown
-5.85938, -550.781, -275.391, 615.82, 760.938, Unknown
50.7813, -464.844, -191.406, 505.267, 756.037, Unknown
-1.95313, -427.734, -238.281, 489.631, 748.698, Unknown
-7.8125, -328.125, -230.469, 401.052, 734.675, Unknown
3.90625, -419.922, -281.25, 505.422, 732.561, Unknown
13.6719, -287.109, -242.188, 375.864, 719.922, Unknown
35.1563, -447.266, -326.172, 554.681, 725.464, Unknown
17.5781, -328.125, -310.547, 452.122, 721.392, Unknown
31.25, -439.453, -292.969, 529.081, 723.741, Unknown
-27.3438, -386.719, -291.016, 484.757, 713.325, Unknown
17.5781, -451.172, -251.953, 517.055, 713.867, Unknown
27.3438, -523.438, -417.969, 670.397, 740.668, Unknown
5.85938, -443.359, -208.984, 490.18, 745.66, Unknown
50.7813, -392.578, -375, 545.272, 741.753, Unknown
-50.7813, -236.328, -453.125, 513.568, 707.14, Unknown
-78.125, -19.5313, -417.969, 425.656, 708.225, Unknown
-46.875, -54.6875, -306.641, 314.986, 696.832, Unknown
-199.219, -76.1719, -353.516, 412.872, 689.67, Unknown
-132.813, -183.594, -412.109, 470.298, 683.919, Unknown
37.1094, -179.688, -74.2188, 197.922, 660.807, Unknown
85.9375, -226.563, -402.344, 469.677, 663.411, Unknown
58.5938, -253.906, -382.813, 463.084, 670.573, Unknown
-121.094, -214.844, -623.047, 670.081, 684.679, Unknown
17.5781, -44.9219, -449.219, 451.801, 682.943, Unknown
-76.1719, -248.047, -435.547, 506.982, 680.23, Unknown
7.8125, -228.516, -509.766, 558.696, 685.221, Unknown
-17.5781, -232.422, -453.125, 509.56, 681.858, Unknown
-7.8125, -212.891, -470.703, 516.667, 681.098, Unknown
1.95313, -171.875, -498.047, 526.873, 678.385, Unknown
9.76563, -224.609, -462.891, 514.599, 663.303, Unknown
-3.90625, -203.125, -427.734, 473.531, 662.001, Unknown
0, -201.172, -449.219, 492.207, 652.669, Unknown
0, -187.5, -449.219, 486.779, 646.918, Unknown
-1.95313, -218.75, -466.797, 515.514, 656.467, Unknown
-1.95313, -207.031, -431.641, 478.727, 669.379, Unknown
-11.7188, -199.219, -439.453, 482.643, 670.573, Unknown
-13.6719, -207.031, -441.406, 487.738, 666.884, Unknown
9.76563, -181.641, -466.797, 500.987, 687.283, Unknown
-1.95313, -218.75, -439.453, 490.891, 684.245, Unknown
0, -195.313, -464.844, 504.209, 682.292, Unknown
9.76563, -181.641, -439.453, 475.613, 664.063, Unknown
1.95313, -195.313, -435.547, 477.338, 670.79, Unknown
31.25, -173.828, -443.359, 477.242, 664.605, Unknown
3.90625, -208.984, -443.359, 490.16, 659.614, Unknown
1.95313, -203.125, -447.266, 491.233, 656.793, Unknown
0, -195.313, -458.984, 498.812, 654.731, Unknown
5.85938, -208.984, -458.984, 504.356, 654.839, Unknown
5.85938, -205.078, -447.266, 492.075, 652.669, Unknown
-5.85938, -191.406, -457.031, 495.528, 653.754, Unknown
15.625, -214.844, -453.125, 501.721, 655.599, Unknown
-3.90625, -218.75, -462.891, 511.991, 658.312, Unknown
0, -181.641, -453.125, 488.176, 655.382, Unknown
-5.85938, -197.266, -443.359, 485.299, 655.707, Unknown
5.85938, -201.172, -468.75, 510.128, 657.118, Unknown
7.8125, -207.031, -441.406, 487.609, 656.793, Unknown
1.95313, -191.406, -449.219, 488.301, 655.924, Unknown
1.95313, -218.75, -443.359, 494.391, 656.141, Unknown
1.95313, -197.266, -453.125, 494.206, 655.707, Unknown
11.7188, -195.313, -457.031, 497.154, 657.552, Unknown
1.95313, -199.219, -445.313, 487.847, 658.312, Unknown
-11.7188, -193.359, -416.016, 458.905, 656.793, Unknown
13.6719, -199.219, -451.172, 493.387, 657.227, Unknown
7.8125, -208.984, -449.219, 495.513, 657.986, Unknown
-3.90625, -214.844, -439.453, 489.175, 658.203, Unknown
1.95313, -207.031, -445.313, 491.09, 657.118, Unknown
-1.95313, -214.844, -429.688, 480.409, 656.467, Unknown
-7.8125, -210.938, -437.5, 485.759, 656.576, Unknown
15.625, -208.984, -449.219, 495.698, 656.033, Unknown
5.85938, -203.125, -449.219, 493.043, 654.514, Unknown
7.8125, -208.984, -437.5, 484.914, 655.599, Unknown
9.76563, -207.031, -433.594, 480.584, 655.816, Unknown
11.7188, -216.797, -455.078, 504.217, 656.25, Unknown
3.90625, -216.797, -453.125, 502.333, 657.227, Unknown
3.90625, -197.266, -455.078, 496.009, 657.986, Unknown
3.90625, -212.891, -439.453, 488.32, 657.552, Unknown
3.90625, -208.984, -437.5, 484.867, 657.444, Unknown
