@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
240, 620, 770, 1017.3, 1630, Lie
240, 610, 780, 1018.87, 1630, Lie
240, 620, 770, 1017.3, 1630, Lie
240, 620, 780, 1024.89, 1632.5, Lie
230, 620, 770, 1014.99, 1630, Lie
230, 610, 780, 1016.56, 1628.33, Lie
230, 620, 780, 1022.59, 1628.57, Lie
230, 620, 780, 1022.59, 1628.75, Lie
240, 620, 770, 1017.3, 1628.89, Lie
240, 620, 770, 1017.3, 1629, Lie
250, 620, 770, 1019.71, 1630, Lie
260, 620, 770, 1022.2, 1631.67, Lie
260, 620, 780, 1029.76, 1633.85, Lie
260, 620, 770, 1022.2, 1635, Lie
260, 620, 770, 1022.2, 1636, Lie
260, 620, 770, 1022.2, 1636.88, Lie
250, 610, 770, 1013.66, 1636.47, Lie
260, 610, 770, 1016.17, 1636.67, Lie
250, 620, 760, 1012.18, 1636.67, Lie
260, 620, 770, 1022.2, 1637.78, Lie
260, 610, 780, 1023.77, 1638.89, Lie
250, 620, 770, 1019.71, 1638.89, Lie
260, 620, 760, 1014.69, 1640, Lie
260, 610, 770, 1016.17, 1641.11, Lie
260, 620, 770, 1022.2, 1642.22, Lie
250, 620, 770, 1019.71, 1642.78, Lie
230, 620, 780, 1022.59, 1642.78, Lie
240, 620, 770, 1017.3, 1642.78, Lie
230, 610, 770, 1008.91, 1641.11, Lie
230, 620, 770, 1014.99, 1639.44, Lie
230, 610, 760, 1001.3, 1636.11, Lie
230, 610, 780, 1016.56, 1634.44, Lie
240, 620, 780, 1024.89, 1633.89, Lie
230, 620, 770, 1014.99, 1632.22, Lie
240, 620, 770, 1017.3, 1632.22, Lie
240, 620, 780, 1024.89, 1632.22, Lie
230, 610, 780, 1016.56, 1631.67, Lie
240, 610, 770, 1011.24, 1630, Lie
230, 610, 770, 1008.91, 1627.78, Lie
250, 620, 770, 1019.71, 1627.78, Lie
260, 620, 770, 1022.2, 1628.33, Lie
