@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
470, 620, 700, 1046.57, 1790, Stand
470, 620, 690, 1039.9, 1785, Stand
470, 610, 690, 1033.97, 1780, Stand
470, 620, 690, 1039.9, 1780, Stand
470, 610, 690, 1033.97, 1778, Stand
470, 610, 690, 1033.97, 1776.67, Stand
450, 610, 700, 1031.79, 1774.29, Stand
460, 600, 690, 1023.57, 1771.25, Stand
490, 610, 690, 1043.22, 1773.33, Stand
500, 600, 680, 1035.57, 1774, Stand
490, 690, 630, 1055.04, 1777.27, Stand
490, 680, 610, 1036.63, 1777.5, Stand
480, 660, 660, 1049.57, 1779.23, Stand
520, 710, 570, 1048.52, 1780.71, Stand
490, 710, 610, 1056.55, 1782.67, Stand
520, 670, 580, 1027.47, 1781.88, Stand
570, 680, 580, 1060.05, 1784.71, Stand
530, 710, 560, 1048.14, 1785.56, Stand
590, 750, 450, 1055.04, 1785.56, Stand
530, 740, 520, 1048.28, 1786.11, Stand
590, 730, 530, 1077.91, 1790.56, Stand
550, 690, 530, 1029.32, 1790, Stand
580, 700, 510, 1042.35, 1791.11, Stand
570, 750, 480, 1057.26, 1792.78, Stand
600, 690, 540, 1061.93, 1796.67, Stand
600, 700, 540, 1068.46, 1801.67, Stand
600, 710, 490, 1050.81, 1802.22, Stand
590, 710, 490, 1045.13, 1802.78, Stand
630, 720, 490, 1074.9, 1804.44, Stand
590, 660, 560, 1047.52, 1806.11, Stand
540, 690, 510, 1013.8, 1802.78, Stand
570, 690, 510, 1030.1, 1801.11, Stand
590, 720, 510, 1061.41, 1801.67, Stand
590, 710, 530, 1064.47, 1805, Stand
620, 690, 480, 1044.46, 1802.78, Stand
600, 710, 500, 1055.51, 1803.33, Stand
630, 680, 510, 1058.02, 1805, Stand
600, 700, 510, 1053.61, 1806.11, Stand
610, 690, 500, 1047.95, 1803.33, Stand
610, 690, 500, 1047.95, 1805, Stand
610, 700, 500, 1054.56, 1806.11, Stand
630, 690, 490, 1055.04, 1806.67, Stand
610, 690, 500, 1047.95, 1805, Stand
610, 700, 500, 1054.56, 1803.33, Stand
590, 680, 540, 1049.81, 1803.89, Stand
590, 680, 510, 1034.7, 1803.33, Stand
580, 690, 520, 1040.62, 1800.56, Stand
620, 700, 490, 1055.7, 1800.56, Stand
610, 690, 490, 1043.22, 1803.33, Stand
600, 720, 500, 1062.26, 1806.11, Stand
600, 680, 510, 1040.43, 1804.44, Stand
610, 700, 510, 1059.34, 1803.89, Stand
610, 680, 520, 1051.14, 1805, Stand
610, 680, 500, 1041.39, 1803.89, Stand
620, 700, 510, 1065.13, 1804.44, Stand
600, 680, 520, 1045.37, 1803.89, Stand
610, 690, 510, 1052.76, 1804.44, Stand
600, 690, 530, 1056.88, 1805.56, Stand
610, 680, 530, 1056.12, 1806.11, Stand
600, 690, 540, 1061.93, 1807.22, Stand
600, 700, 530, 1063.44, 1808.89, Stand
590, 700, 550, 1067.99, 1810.56, Stand
630, 710, 530, 1087.15, 1813.89, Stand
620, 680, 510, 1052.09, 1815.56, Stand
600, 670, 580, 1070.19, 1818.89, Stand
490, 640, 610, 1010.84, 1815, Stand
460, 640, 580, 978.57, 1808.89, Stand
480, 660, 600, 1012.92, 1804.44, Stand
560, 640, 600, 1040.77, 1805, Stand
490, 620, 680, 1042.54, 1803.33, Stand
440, 660, 650, 1025.52, 1800, Stand
440, 670, 660, 1038.32, 1798.89, Stand
450, 740, 610, 1059.34, 1797.22, Stand
500, 610, 760, 1095.31, 1801.11, Stand
530, 500, 700, 1010.4, 1796.67, Stand
580, 690, 520, 1040.62, 1795, Stand
620, 700, 490, 1055.7, 1794.44, Stand
610, 690, 490, 1043.22, 1792.22, Stand
600, 720, 500, 1062.26, 1791.67, Stand
600, 680, 510, 1040.43, 1788.89, Stand
610, 700, 510, 1059.34, 1786.11, Stand
610, 680, 520, 1051.14, 1786.11, Stand
610, 680, 500, 1041.39, 1782.78, Stand
620, 700, 510, 1065.13, 1787.78, Stand
600, 680, 520, 1045.37, 1794.44, Stand
610, 690, 510, 1052.76, 1798.33, Stand
600, 690, 530, 1056.88, 1799.44, Stand
610, 680, 530, 1056.12, 1801.11, Stand
600, 690, 540, 1061.93, 1805.56, Stand
600, 700, 530, 1063.44, 1808.89, Stand
590, 700, 550, 1067.99, 1811.11, Stand
630, 710, 530, 1087.15, 1811.11, Stand
670, 710, 470, 1083.47, 1817.78, Stand
690, 520, 750, 1144.12, 1827.22, Stand
420, 430, 710, 930.269, 1813.33, Stand
330, 690, 740, 1064.24, 1811.67, Stand
460, 810, 480, 1047.9, 1807.78, Stand
540, 700, 690, 1121.47, 1815.56, Stand
550, 650, 660, 1077.31, 1817.78, Stand
510, 660, 620, 1039.28, 1816.67, Stand
420, 670, 640, 1017.3, 1813.33, Stand
460, 660, 650, 1034.26, 1810, Stand
440, 690, 680, 1064, 1810.56, Stand
430, 690, 640, 1034.7, 1807.78, Stand
350, 650, 700, 1017.35, 1801.11, Stand
310, 630, 770, 1042.07, 1795, Stand
580, 690, 520, 1040.62, 1792.78, Stand
620, 700, 490, 1055.7, 1791.67, Stand
610, 690, 490, 1043.22, 1788.89, Stand
600, 720, 500, 1062.26, 1786.11, Stand
600, 680, 510, 1040.43, 1782.78, Stand
610, 700, 510, 1059.34, 1775, Stand
610, 680, 520, 1051.14, 1788.89, Stand
610, 680, 500, 1041.39, 1790.56, Stand
620, 700, 510, 1065.13, 1795, Stand
600, 680, 520, 1045.37, 1787.78, Stand
610, 690, 510, 1052.76, 1785, Stand
600, 690, 530, 1056.88, 1786.67, Stand
610, 680, 530, 1056.12, 1791.67, Stand
600, 690, 540, 1061.93, 1795, Stand
600, 700, 530, 1063.44, 1796.11, Stand
590, 700, 550, 1067.99, 1800.56, Stand
630, 710, 530, 1087.15, 1810, Stand
670, 710, 470, 1083.47, 1817.78, Stand
300, 640, 730, 1016.12, 1811.11, Stand
320, 620, 730, 1009.8, 1803.33, Stand
350, 610, 730, 1013.66, 1797.78, Stand
340, 610, 760, 1032.13, 1791.67, Stand
320, 630, 720, 1008.81, 1785, Stand
290, 630, 730, 1006.93, 1775.56, Stand
280, 650, 750, 1031.21, 1768.33, Stand
310, 640, 740, 1026.3, 1762.78, Stand
330, 650, 760, 1053.09, 1757.78, Stand
400, 640, 700, 1029.37, 1754.44, Stand
320, 610, 780, 1040.62, 1748.89, Stand
310, 660, 760, 1053.23, 1743.89, Stand
350, 640, 740, 1039.09, 1738.89, Stand
580, 690, 520, 1040.62, 1736.67, Stand
620, 700, 490, 1055.7, 1735.56, Stand
610, 690, 490, 1043.22, 1732.78, Stand
600, 720, 500, 1062.26, 1730, Stand
600, 680, 510, 1040.43, 1726.67, Stand
610, 700, 510, 1059.34, 1735, Stand
610, 680, 520, 1051.14, 1742.78, Stand
610, 680, 500, 1041.39, 1748.33, Stand
620, 700, 510, 1065.13, 1755, Stand
600, 680, 520, 1045.37, 1762.22, Stand
610, 690, 510, 1052.76, 1771.11, Stand
600, 690, 530, 1056.88, 1778.89, Stand
610, 680, 530, 1056.12, 1786.11, Stand
600, 690, 540, 1061.93, 1791.11, Stand
600, 700, 530, 1063.44, 1796.11, Stand
590, 700, 550, 1067.99, 1803.33, Stand
630, 710, 530, 1087.15, 1811.11, Stand
280, 640, 720, 1003.19, 1806.11, Stand
360, 620, 710, 1009.01, 1800.56, Stand
440, 660, 700, 1057.92, 1800, Stand
400, 660, 690, 1035.23, 1797.78, Stand
400, 690, 610, 1004.09, 1791.11, Stand
410, 680, 670, 1038.94, 1789.44, Stand
400, 660, 710, 1048.67, 1786.67, Stand
480, 640, 580, 988.13, 1780.56, Stand
500, 700, 510, 1000.05, 1776.11, Stand
530, 640, 650, 1054.99, 1775.56, Stand
530, 580, 720, 1065.69, 1777.22, Stand
520, 600, 660, 1032.47, 1775.56, Stand
