@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
-17.5781, -507.813, -54.6875, 511.051, 580.078, Stand
-31.25, -498.047, -56.6406, 502.23, 583.008, Stand
-15.625, -503.906, -46.875, 506.323, 577.474, Stand
-33.2031, -501.953, -54.6875, 506.014, 580.566, Stand
-17.5781, -507.813, -74.2188, 513.508, 584.375, Stand
-19.5313, -500, -50.7813, 502.951, 582.031, Stand
-27.3438, -500, -48.8281, 503.122, 581.194, Stand
-27.3438, -503.906, -76.1719, 510.364, 584.473, Stand
-39.0625, -511.719, -44.9219, 515.17, 585.72, Stand
-15.625, -505.859, -72.2656, 511.234, 586.523, Stand
-37.1094, -496.094, -62.5, 501.39, 587.358, Stand
-17.5781, -501.953, -64.4531, 506.379, 587.077, Stand
-29.2969, -507.813, -25.3906, 509.29, 585.186, Stand
-39.0625, -496.094, -58.5938, 501.067, 585.798, Stand
-29.2969, -511.719, -58.5938, 515.895, 586.719, Stand
-39.0625, -503.906, -54.6875, 508.368, 587.402, Stand
-17.5781, -500, -56.6406, 503.505, 586.627, Stand
-35.1563, -509.766, -44.9219, 512.947, 586.806, Stand
-21.4844, -519.531, -56.6406, 523.051, 587.782, Stand
-27.3438, -505.859, -41.0156, 508.256, 587.131, Stand
-25.3906, -507.813, -52.7344, 511.174, 588.216, Stand
-25.3906, -490.234, -89.8438, 499.045, 589.084, Stand
-31.25, -501.953, -64.4531, 507.038, 588.976, Stand
-35.1563, -490.234, -46.875, 493.724, 589.084, Stand
-21.4844, -503.906, -56.6406, 507.534, 589.41, Stand
-9.76563, -500, -58.5938, 503.516, 587.24, Stand
-25.3906, -511.719, -60.5469, 515.913, 587.348, Stand
-29.2969, -515.625, -48.8281, 518.76, 587.348, Stand
-21.4844, -505.859, -46.875, 508.481, 586.155, Stand
-46.875, -505.859, -52.7344, 510.756, 587.348, Stand
-17.5781, -500, -48.8281, 502.686, 587.565, Stand
-23.4375, -503.906, -46.875, 506.624, 586.48, Stand
-25.3906, -492.188, -72.2656, 498.112, 585.938, Stand
-23.4375, -498.047, -58.5938, 502.029, 584.961, Stand
-25.3906, -501.953, -58.5938, 505.999, 585.612, Stand
-11.7188, -503.906, -82.0313, 510.674, 586.046, Stand
-29.2969, -503.906, -41.0156, 506.421, 584.744, Stand
-11.7188, -498.047, -68.3594, 502.853, 584.961, Stand
-41.0156, -496.094, -46.875, 499.989, 584.852, Stand
-13.6719, -503.906, -72.2656, 509.245, 583.984, Stand
-31.25, -500, -52.7344, 503.743, 583.225, Stand
-25.3906, -496.094, -68.3594, 501.425, 584.201, Stand
-31.25, -494.141, -58.5938, 498.583, 584.31, Stand
-17.5781, -519.531, -52.7344, 522.497, 585.503, Stand
-25.3906, -488.281, -48.8281, 491.373, 583.55, Stand
-35.1563, -490.234, -33.2031, 492.614, 581.597, Stand
-35.1563, -513.672, -60.5469, 518.421, 583.55, Stand
-33.2031, -509.766, -52.7344, 513.56, 583.008, Stand
-33.2031, -509.766, -72.2656, 515.932, 585.72, Stand
-46.875, -494.141, -52.7344, 499.152, 586.806, Stand
-33.2031, -515.625, -46.875, 518.815, 587.131, Stand
-27.3438, -509.766, -70.3125, 515.318, 588.65, Stand
-27.3438, -511.719, -44.9219, 514.414, 588.542, Stand
-27.3438, -507.813, -68.3594, 513.122, 588.867, Stand
-19.5313, -501.953, -44.9219, 504.338, 588.433, Stand
-39.0625, -496.094, -60.5469, 501.299, 589.41, Stand
-13.6719, -503.906, -58.5938, 507.486, 588.976, Stand
-31.25, -511.719, -80.0781, 518.888, 590.82, Stand
-19.5313, -505.859, -52.7344, 508.976, 590.495, Stand
23.4375, -501.953, -33.2031, 503.596, 588.759, Stand
39.0625, -527.344, -80.0781, 534.818, 592.231, Stand
64.4531, -513.672, -111.328, 529.535, 597.765, Stand
99.6094, -621.094, -103.516, 637.491, 612.305, Stand
146.484, -458.984, -15.625, 482.046, 615.777, Stand
214.844, -472.656, 25.3906, 519.814, 621.528, Stand
238.281, -419.922, 50.7813, 485.48, 627.821, Stand
253.906, -417.969, 62.5, 493.024, 634.44, Stand
314.453, -373.047, 52.7344, 490.74, 642.578, Stand
326.172, -468.75, 83.9844, 577.207, 658.312, Stand
296.875, -359.375, -1.95313, 466.143, 661.133, Stand
373.047, -361.328, 48.8281, 521.638, 672.201, Stand
330.078, -404.297, 3.90625, 521.941, 679.688, Stand
349.609, -390.625, -3.90625, 524.242, 689.562, Stand
