@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
20, -20, 980, 980.408, 1020, Walk
500, -50, 730, 886.228, 1150, Walk
-460, -180, 980, 1097.45, 1306.67, Walk
-320, -360, 740, 882.95, 1335, Walk
-100, -100, 1360, 1367.33, 1380, Walk
60, 400, 1080, 1153.26, 1406.67, Walk
60, 390, 740, 838.63, 1375.71, Walk
480, 20, 660, 816.333, 1348.75, Walk
730, -210, 580, 955.72, 1367.78, Walk
-140, -110, 1150, 1163.7, 1371, Walk
-200, 210, 1280, 1312.44, 1400, Walk
70, 0, 820, 822.982, 1357.5, Walk
-70, -70, 460, 470.532, 1299.23, Walk
-380, -190, 830, 932.416, 1306.43, Walk
-440, -400, 1660, 1763.29, 1386, Walk
20, -20, 980, 980.408, 1363.13, Walk
10, -10, 990, 990.101, 1342.35, Walk
10, -20, 970, 970.258, 1323.33, Walk
10, -10, 980, 980.102, 1322.22, Walk
20, -10, 980, 980.255, 1307.22, Walk
10, -10, 980, 980.102, 1272.78, Walk
0, -10, 970, 970.052, 1248.33, Walk
10, -10, 980, 980.102, 1217.22, Walk
10, -10, 990, 990.101, 1187.78, Walk
10, -20, 960, 960.26, 1176.67, Walk
20, -10, 970, 970.258, 1167.78, Walk
0, -20, 970, 970.206, 1138.33, Walk
500, -50, 730, 886.228, 1131.67, Walk
-460, -180, 980, 1097.45, 1127.78, Walk
-320, -360, 740, 882.95, 1157.22, Walk
-100, -100, 1360, 1367.33, 1210.56, Walk
60, 400, 1080, 1153.26, 1218.33, Walk
60, 390, 740, 838.63, 1145.56, Walk
480, 20, 660, 816.333, 1153.33, Walk
730, -210, 580, 955.72, 1181.67, Walk
-140, -110, 1150, 1163.7, 1203.89, Walk
-200, 210, 1280, 1312.44, 1242.22, Walk
70, 0, 820, 822.982, 1235.56, Walk
-70, -70, 460, 470.532, 1213.33, Walk
-380, -190, 830, 932.416, 1236.67, Walk
-440, -400, 1660, 1763.29, 1320, Walk
10, -20, 970, 970.258, 1319.44, Walk
10, -10, 990, 990.101, 1320.56, Walk
10, -10, 980, 980.102, 1320.56, Walk
0, -20, 970, 970.206, 1320.56, Walk
-0, -10, 960, 960.052, 1303.33, Walk
-0, -20, 980, 980.204, 1268.89, Walk
10, -10, 980, 980.102, 1245.56, Walk
-0, -20, 970, 970.206, 1213.89, Walk
0, -20, 970, 970.206, 1183.33, Walk
10, -20, 980, 980.255, 1173.33, Walk
-10, -10, 980, 980.102, 1164.44, Walk
0, -20, 980, 980.204, 1135.56, Walk
500, -50, 730, 886.228, 1128.89, Walk
-460, -180, 980, 1097.45, 1125, Walk
-320, -360, 740, 882.95, 1154.44, Walk
-100, -100, 1360, 1367.33, 1207.78, Walk
60, 400, 1080, 1153.26, 1215.56, Walk
60, 390, 740, 838.63, 1142.78, Walk
480, 20, 660, 816.333, 1151.67, Walk
730, -210, 580, 955.72, 1180, Walk
-140, -110, 1150, 1163.7, 1202.22, Walk
-200, 210, 1280, 1312.44, 1241.11, Walk
70, 0, 820, 822.982, 1236.67, Walk
-70, -70, 460, 470.532, 1214.44, Walk
-380, -190, 830, 932.416, 1236.67, Walk
-440, -400, 1660, 1763.29, 1320.56, Walk
0, -20, 980, 980.204, 1321.11, Walk
-0, -20, 980, 980.204, 1320.56, Walk
0, -20, 970, 970.206, 1320, Walk
-10, -20, 980, 980.255, 1320.56, Walk
-0, -20, 980, 980.204, 1305, Walk
0, -20, 970, 970.206, 1270, Walk
-10, -20, 970, 970.258, 1246.67, Walk
-10, -30, 980, 980.51, 1216.67, Walk
-0, -20, 980, 980.204, 1186.67, Walk
-0, -20, 970, 970.206, 1175.56, Walk
0, -20, 970, 970.206, 1166.11, Walk
-0, -10, 980, 980.051, 1136.67, Walk
500, -50, 730, 886.228, 1130, Walk
-460, -180, 980, 1097.45, 1126.11, Walk
-320, -360, 740, 882.95, 1155.56, Walk
-100, -100, 1360, 1367.33, 1208.89, Walk
60, 400, 1080, 1153.26, 1216.67, Walk
60, 390, 740, 838.63, 1143.89, Walk
480, 20, 660, 816.333, 1152.78, Walk
730, -210, 580, 955.72, 1181.67, Walk
-140, -110, 1150, 1163.7, 1204.44, Walk
-200, 210, 1280, 1312.44, 1242.22, Walk
70, 0, 820, 822.982, 1236.11, Walk
-70, -70, 460, 470.532, 1214.44, Walk
-380, -190, 830, 932.416, 1236.67, Walk
-440, -400, 1660, 1763.29, 1318.89, Walk
0, -20, 970, 970.206, 1318.33, Walk
0, -20, 970, 970.206, 1318.33, Walk
0, -20, 980, 980.204, 1318.89, Walk
-10, -20, 990, 990.252, 1320.56, Walk
20, -20, 970, 970.412, 1305.56, Walk
-0, -10, 970, 970.052, 1270, Walk
-0, -30, 970, 970.464, 1246.67, Walk
-10, -20, 970, 970.258, 1215.56, Walk
0, -20, 970, 970.206, 1185, Walk
-0, -20, 980, 980.204, 1174.44, Walk
-0, -20, 980, 980.204, 1165.56, Walk
-0, -30, 970, 970.464, 1136.67, Walk
500, -50, 730, 886.228, 1130, Walk
-460, -180, 980, 1097.45, 1126.11, Walk
-320, -360, 740, 882.95, 1155.56, Walk
-100, -100, 1360, 1367.33, 1208.89, Walk
60, 400, 1080, 1153.26, 1216.67, Walk
60, 390, 740, 838.63, 1143.89, Walk
480, 20, 660, 816.333, 1153.33, Walk
730, -210, 580, 955.72, 1182.78, Walk
-140, -110, 1150, 1163.7, 1205, Walk
-200, 210, 1280, 1312.44, 1242.22, Walk
70, 0, 820, 822.982, 1235.56, Walk
-70, -70, 460, 470.532, 1214.44, Walk
-380, -190, 830, 932.416, 1236.67, Walk
-440, -400, 1660, 1763.29, 1320, Walk
-10, -10, 980, 980.102, 1320.56, Walk
10, -20, 980, 980.255, 1321.11, Walk
0, -0, 960, 960, 1318.89, Walk
-30, -40, 970, 971.288, 1321.11, Walk
-30, -20, 980, 980.663, 1307.22, Walk
20, -20, 970, 970.412, 1273.33, Walk
-20, -20, 990, 990.404, 1251.67, Walk
-30, -20, 990, 990.656, 1222.78, Walk
0, -20, 950, 950.211, 1191.11, Walk
-0, -20, 960, 960.208, 1179.44, Walk
-10, -20, 990, 990.252, 1171.67, Walk
500, -50, 730, 886.228, 1158.33, Walk
-460, -180, 980, 1097.45, 1170.56, Walk
-320, -360, 740, 882.95, 1155.56, Walk
-100, -100, 1360, 1367.33, 1192.78, Walk
60, 400, 1080, 1153.26, 1245, Walk
60, 390, 740, 838.63, 1233.33, Walk
480, 20, 660, 816.333, 1158.89, Walk
730, -210, 580, 955.72, 1187.78, Walk
-140, -110, 1150, 1163.7, 1209.44, Walk
-200, 210, 1280, 1312.44, 1250, Walk
70, 0, 820, 822.982, 1241.67, Walk
-70, -70, 460, 470.532, 1217.78, Walk
-380, -190, 830, 932.416, 1239.44, Walk
-440, -400, 1660, 1763.29, 1321.11, Walk
-10, -20, 980, 980.255, 1319.44, Walk
-20, -20, 960, 960.417, 1321.11, Walk
-0, -20, 970, 970.206, 1321.67, Walk
-0, -20, 960, 960.208, 1319.44, Walk
-20, -40, 990, 991.01, 1306.67, Walk
-10, -10, 970, 970.103, 1271.67, Walk
-0, -20, 990, 990.202, 1248.89, Walk
90, -50, 970, 975.449, 1223.89, Walk
80, -50, 960, 964.624, 1198.89, Walk
250, -0, 960, 992.018, 1200, Walk
240, -10, 960, 989.596, 1202.78, Walk
230, -0, 970, 996.895, 1185, Walk
240, 10, 980, 1009.01, 1175.56, Walk
250, 10, 970, 1001.75, 1150, Walk
-160, 40, 710, 728.903, 1151.11, Walk
-560, -100, 950, 1107.29, 1207.22, Walk
-370, -90, 1380, 1431.57, 1231.67, Walk
530, 50, 850, 1002.95, 1172.22, Walk
420, 240, 880, 1004.19, 1201.67, Walk
130, 250, 960, 1000.5, 1220.56, Walk
140, 70, 910, 923.363, 1227.78, Walk
550, -40, 570, 793.095, 1237.78, Walk
430, 30, 1020, 1107.34, 1261.67, Walk
250, -120, 780, 827.828, 1270.56, Walk
-350, 190, 1390, 1445.93, 1321.67, Walk
160, 180, 1060, 1087.01, 1337.78, Walk
110, -70, 1000, 1008.46, 1342.78, Walk
100, -30, 970, 975.602, 1336.67, Walk
80, -50, 980, 984.53, 1331.11, Walk
120, -30, 970, 977.855, 1326.67, Walk
90, -30, 990, 994.535, 1320, Walk
100, -40, 980, 985.901, 1313.89, Walk
90, -40, 970, 974.987, 1324.44, Walk
100, -50, 960, 966.488, 1296.67, Walk
100, -50, 1000, 1006.23, 1258.33, Walk
90, -50, 970, 975.449, 1240.56, Walk
80, -50, 960, 964.624, 1215.56, Walk
250, -0, 960, 992.018, 1208.33, Walk
240, -10, 960, 989.596, 1213.33, Walk
230, -0, 970, 996.895, 1215.56, Walk
240, 10, 980, 1009.01, 1201.67, Walk
250, 10, 970, 1001.75, 1206.11, Walk
-40, 90, 900, 905.373, 1156.11, Walk
-380, -120, 930, 1011.78, 1157.78, Walk
-290, -150, 930, 985.647, 1168.33, Walk
-60, -160, 950, 965.246, 1172.22, Walk
280, 70, 1140, 1175.97, 1193.33, Walk
230, 100, 1160, 1186.8, 1213.89, Walk
450, 100, 630, 780.641, 1217.78, Walk
510, 130, 510, 732.871, 1219.44, Walk
70, -200, 840, 866.314, 1220, Walk
-400, -40, 1440, 1495.06, 1262.78, Walk
-80, 190, 1050, 1070.05, 1272.22, Walk
110, -70, 1000, 1008.46, 1276.11, Walk
100, -30, 970, 975.602, 1276.67, Walk
80, -50, 980, 984.53, 1271.11, Walk
120, -30, 970, 977.855, 1266.11, Walk
90, -30, 990, 994.535, 1261.11, Walk
100, -40, 980, 985.901, 1255, Walk
90, -40, 970, 974.987, 1247.78, Walk
100, -50, 960, 966.488, 1252.22, Walk
100, -50, 1000, 1006.23, 1236.67, Walk
90, -50, 970, 975.449, 1222.22, Walk
80, -50, 960, 964.624, 1217.78, Walk
250, -0, 960, 992.018, 1202.22, Walk
240, -10, 960, 989.596, 1186.67, Walk
230, -0, 970, 996.895, 1187.78, Walk
240, 10, 980, 1009.01, 1192.22, Walk
250, 10, 970, 1001.75, 1198.89, Walk
-480, -240, 780, 946.784, 1177.78, Walk
-290, -310, 960, 1049.67, 1191.11, Walk
-160, -470, 1450, 1532.64, 1241.11, Walk
430, 250, 1200, 1299, 1284.44, Walk
440, 180, 980, 1089.22, 1311.67, Walk
880, 10, 440, 983.921, 1323.33, Walk
330, 70, 710, 786.066, 1323.33, Walk
130, -320, 940, 1001.45, 1338.33, Walk
-370, -70, 1420, 1469.08, 1380.56, Walk
80, 330, 1100, 1151.22, 1402.78, Walk
-340, 50, 990, 1047.95, 1415.56, Walk
110, -70, 1000, 1008.46, 1419.44, Walk
100, -30, 970, 975.602, 1420, Walk
80, -50, 980, 984.53, 1414.44, Walk
120, -30, 970, 977.855, 1409.44, Walk
90, -30, 990, 994.535, 1404.44, Walk
100, -40, 980, 985.901, 1398.33, Walk
90, -40, 970, 974.987, 1391.11, Walk
100, -50, 960, 966.488, 1369.44, Walk
100, -50, 1000, 1006.23, 1346.67, Walk
90, -50, 970, 975.449, 1292.78, Walk
80, -50, 960, 964.624, 1248.89, Walk
250, -0, 960, 992.018, 1227.22, Walk
240, -10, 960, 989.596, 1220.56, Walk
230, -0, 970, 996.895, 1225.56, Walk
240, 10, 980, 1009.01, 1216.67, Walk
250, 10, 970, 1001.75, 1181.67, Walk
-170, -460, 1130, 1231.83, 1195.56, Walk
140, 110, 1430, 1441.04, 1212.22, Walk
190, 370, 770, 875.157, 1220.56, Walk
650, 90, 810, 1042.45, 1245.56, Walk
670, -20, 430, 796.367, 1246.11, Walk
80, -230, 1120, 1146.17, 1263.33, Walk
-550, 80, 1580, 1674.9, 1324.44, Walk
60, 70, 1030, 1034.12, 1326.67, Walk
-290, -30, 810, 860.872, 1328.33, Walk
-490, -220, 650, 843.208, 1342.22, Walk
-250, -490, 910, 1063.34, 1370, Walk
110, -70, 1000, 1008.46, 1373.89, Walk
100, -30, 970, 975.602, 1374.44, Walk
80, -50, 980, 984.53, 1368.89, Walk
120, -30, 970, 977.855, 1363.89, Walk
