@relation lbl

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
-451.172, -681.641, -535.156, 977.027, 1667.97, Walk
462.891, -310.547, 60.5469, 560.69, 1250.98, Walk
285.156, -382.813, 35.1563, 478.639, 1068.36, Walk
271.484, -335.938, 48.8281, 434.675, 965.332, Walk
345.703, -201.172, -226.563, 459.686, 926.953, Walk
273.438, -658.203, -919.922, 1163.72, 1081.05, Walk
19.5313, 97.6563, -376.953, 389.887, 997.21, Walk
-70.3125, 253.906, -357.422, 444.03, 957.764, Walk
-269.531, -544.922, 41.0156, 609.319, 946.398, Walk
410.156, -570.313, 148.438, 717.996, 964.648, Walk
142.578, -353.516, 91.7969, 392.082, 930.398, Walk
191.406, -429.688, -113.281, 483.839, 914.063, Walk
64.4531, -542.969, -183.594, 576.781, 904.597, Walk
138.672, -406.25, -150.391, 454.848, 889.648, Walk
304.688, -457.031, -218.75, 591.239, 895.703, Walk
160.156, -380.859, -273.438, 495.451, 890.625, Walk
105.469, -324.219, -177.734, 384.488, 873.966, Walk
185.547, -363.281, -125, 426.645, 862.847, Walk
111.328, -687.5, -242.188, 737.364, 828.016, Walk
226.563, -562.5, -138.672, 622.066, 833.225, Walk
-50.7813, -341.797, -72.2656, 353.024, 819.987, Walk
453.125, -513.672, -154.297, 702.131, 845.812, Walk
175.781, -361.328, -93.75, 412.609, 837.891, Walk
42.9688, -640.625, -109.375, 651.314, 779.08, Walk
134.766, -486.328, -15.625, 504.897, 787.001, Walk
72.2656, -406.25, -173.828, 447.747, 785.373, Walk
175.781, -435.547, -1.95313, 469.685, 771.918, Walk
187.5, -451.172, 3.90625, 488.598, 744.9, Walk
220.703, -414.063, -15.625, 469.47, 748.372, Walk
85.9375, -431.641, -35.1563, 441.514, 738.281, Walk
72.2656, -554.688, -9.76563, 559.46, 729.709, Walk
173.828, -404.297, -111.328, 453.945, 729.384, Walk
216.797, -693.359, -167.969, 745.628, 734.809, Walk
72.2656, -501.953, -101.563, 517.198, 727.105, Walk
242.188, -443.359, -113.281, 517.74, 737.739, Walk
150.391, -396.484, -103.516, 436.5, 736.437, Walk
306.641, -451.172, -83.9844, 551.94, 725.369, Walk
140.625, -353.516, -91.7969, 391.376, 706.38, Walk
369.141, -349.609, -109.375, 520.052, 726.563, Walk
283.203, -412.109, -64.4531, 504.175, 706.489, Walk
267.578, -386.719, -121.094, 485.606, 714.518, Walk
283.203, -468.75, -62.5, 551.214, 715.712, Walk
255.859, -417.969, -93.75, 498.95, 722.982, Walk
316.406, -439.453, -64.4531, 545.331, 732.313, Walk
281.25, -433.594, -109.375, 528.269, 744.032, Walk
287.109, -390.625, -82.0313, 491.68, 750.543, Walk
302.734, -431.641, -136.719, 544.659, 762.804, Walk
310.547, -376.953, -82.0313, 495.239, 774.848, Walk
316.406, -384.766, -101.563, 508.402, 784.071, Walk
318.359, -330.078, -105.469, 470.561, 787.652, Walk
306.641, -359.375, -175.781, 504.061, 774.523, Walk
