@relation TestSet

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.0222, 1.70159, 1.65, 0, 2.44, 0, idle
1.0222, 2.18628, 1.65, 0, 2.66, 0.22, idle
1.01366, 1.70605, 1.64333, 0.00942809, 2.66, 0.179629, idle
1.01617, 0.869138, 1.6425, 0.00829156, 2.335, 0.584016, idle
1.01218, 1.18157, 1.64, 0.00894427, 2.214, 0.575694, idle
1.0222, 0.83, 1.64167, 0.00897527, 2.03667, 0.658348, idle
1.02377, 0.936429, 1.64286, 0.00880631, 1.94429, 0.650162, idle
1.01971, 0.441135, 1.6425, 0.00829156, 1.77875, 0.749457, idle
1.01469, 0.997196, 1.64222, 0.00785674, 1.76778, 0.707276, idle
1.01617, 0.589067, 1.642, 0.00748331, 1.675, 0.726419, idle
1.0222, 1.65605, 1.64273, 0.00749656, 1.76364, 0.74718, idle
1.01971, 0.84309, 1.6425, 0.00721688, 1.725, 0.726756, idle
1.02039, 1.78776, 1.64077, 0.00916644, 1.79615, 0.740473, idle
1.02039, 0.933488, 1.63929, 0.0103263, 1.77786, 0.716581, idle
1.01656, 0.662571, 1.638, 0.0110755, 1.73, 0.715066, idle
1.01435, 1.39564, 1.63625, 0.0126861, 1.74687, 0.695438, idle
1.02259, 1.6432, 1.63588, 0.0123949, 1.77059, 0.681309, idle
1.01656, 1.32125, 1.635, 0.0125831, 1.785, 0.664774, idle
1.01656, 0.733417, 1.63333, 0.0124722, 1.71222, 0.660779, idle
1.01656, 1.66301, 1.63167, 0.0121335, 1.68111, 0.616783, idle
1.01656, 1.62718, 1.63111, 0.0124226, 1.665, 0.594383, idle
1.00891, 1.53392, 1.62944, 0.0131116, 1.71, 0.600222, idle
1.01656, 1.1908, 1.62889, 0.013287, 1.72389, 0.603408, idle
1.01656, 1.63325, 1.62722, 0.0123853, 1.79389, 0.605852, idle
1.01435, 0.922226, 1.625, 0.0116667, 1.78944, 0.609084, idle
1.0222, 0.806846, 1.62556, 0.0125708, 1.82833, 0.552934, idle
1.02976, 0.964365, 1.62667, 0.0145297, 1.82722, 0.553251, idle
1.0222, 2.241, 1.62722, 0.0152044, 1.96111, 0.588623, idle
1.0222, 1.70159, 1.62722, 0.0152044, 1.94944, 0.576816, idle
1.0222, 2.18628, 1.62778, 0.0158309, 2.03722, 0.591343, idle
1.01366, 1.70605, 1.62833, 0.0157233, 2.03778, 0.591923, idle
1.01617, 0.869138, 1.62944, 0.0158016, 2.02778, 0.601688, idle
1.01218, 1.18157, 1.63, 0.0156347, 2.065, 0.559943, idle
1.0222, 0.83, 1.63222, 0.015476, 2.01778, 0.597983, idle
1.02377, 0.936429, 1.63333, 0.0159861, 1.97556, 0.613779, idle
1.01971, 0.441135, 1.63444, 0.0157135, 1.89722, 0.687393, idle
1.01469, 0.997196, 1.63556, 0.0153559, 1.92778, 0.664451, idle
1.01617, 0.589067, 1.63667, 0.0149071, 1.84556, 0.701373, idle
1.0222, 1.65605, 1.63833, 0.0146249, 1.86111, 0.715789, idle
1.01971, 0.84309, 1.64, 0.0129099, 1.81278, 0.72264, idle
1.01499, 2.17481, 1.64, 0.0129099, 1.88056, 0.789286, idle
1.01435, 1.2744, 1.63944, 0.0139333, 1.84833, 0.778783, idle
1.01277, 1.64648, 1.63944, 0.0139333, 1.90833, 0.776597, idle
1.02259, 0.804487, 1.63833, 0.0138444, 1.89278, 0.790898, idle
1.01656, 2.0969, 1.63611, 0.0133911, 1.94722, 0.806576, idle
1.01499, 1.53222, 1.63444, 0.0134256, 1.89167, 0.747182, idle
1.01656, 1.63576, 1.63278, 0.0132521, 1.88778, 0.744495, idle
1.02039, 1.89193, 1.63111, 0.012862, 1.88889, 0.745988, idle
1.01435, 1.42106, 1.63, 0.0137437, 1.85556, 0.723865, idle
1.01656, 0.926121, 1.62889, 0.0136987, 1.85944, 0.721376, idle
1.01277, 1.85753, 1.62778, 0.0143587, 1.91889, 0.751708, idle
1.02039, 1.99805, 1.62611, 0.0133911, 2.01056, 0.752961, idle
1.01435, 1.43955, 1.62389, 0.0125339, 2.05833, 0.739228, idle
1.0222, 0.806846, 1.62444, 0.0134256, 2.09722, 0.678453, idle
1.02976, 0.964365, 1.62556, 0.0153559, 2.09611, 0.679151, idle
1.0222, 2.241, 1.62611, 0.0160343, 2.23, 0.655464, idle
1.0222, 1.70159, 1.62611, 0.0160343, 2.21833, 0.649729, idle
1.0222, 2.18628, 1.62667, 0.0166667, 2.30611, 0.626029, idle
1.01366, 1.70605, 1.62722, 0.0166017, 2.27611, 0.594625, idle
1.01617, 0.869138, 1.62889, 0.0162921, 2.25, 0.623271, idle
1.01218, 1.18157, 1.63, 0.0156347, 2.21333, 0.633289, idle
1.0222, 0.83, 1.63111, 0.0162921, 2.21944, 0.622374, idle
1.02377, 0.936429, 1.63278, 0.0166017, 2.15, 0.641032, idle
1.01971, 0.441135, 1.63389, 0.0163771, 2.05944, 0.729532, idle
1.01469, 0.997196, 1.635, 0.0160728, 2.02111, 0.730334, idle
1.01617, 0.589067, 1.63611, 0.015684, 1.90667, 0.744901, idle
1.0222, 1.65605, 1.63833, 0.0146249, 1.93944, 0.763671, idle
1.01971, 0.84309, 1.63944, 0.0139333, 1.93222, 0.769051, idle
