@relation TestSet

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.0222, 1.70159, 1.65, 0, 2.44, 0, idle
1.0222, 2.18628, 1.65, 0, 2.66, 0.22, idle
1.01366, 1.70605, 1.64333, 0.00942809, 2.66, 0.179629, idle
1.01617, 0.869138, 1.6425, 0.00829156, 2.335, 0.584016, idle
1.01218, 1.18157, 1.64, 0.00894427, 2.214, 0.575694, idle
1.0222, 0.83, 1.64167, 0.00897527, 2.03667, 0.658348, idle
1.02377, 0.936429, 1.64286, 0.00880631, 1.94429, 0.650162, idle
1.01971, 0.441135, 1.6425, 0.00829156, 1.77875, 0.749457, idle
1.01469, 0.997196, 1.64125, 0.00780625, 1.68375, 0.706557, idle
1.01617, 0.589067, 1.64, 0.00707107, 1.42875, 0.58678, idle
1.0222, 1.65605, 1.6425, 0.00661438, 1.4275, 0.584161, idle
1.01971, 0.84309, 1.6425, 0.00661438, 1.42, 0.585363, idle
1.02039, 1.78776, 1.64125, 0.00927025, 1.535, 0.711706, idle
1.02039, 0.933488, 1.6375, 0.0108972, 1.58375, 0.696867, idle
1.01656, 0.662571, 1.63375, 0.0111102, 1.5425, 0.716602, idle
1.01435, 1.39564, 1.63, 0.0132288, 1.715, 0.635256, idle
1.02259, 1.6432, 1.62875, 0.0126861, 1.77375, 0.650844, idle
1.01656, 1.32125, 1.62625, 0.0121835, 1.9225, 0.548355, idle
1.01656, 0.733417, 1.6225, 0.00829156, 1.7325, 0.526254, idle
1.01656, 1.66301, 1.62, 0.005, 1.86, 0.529575, idle
1.01656, 1.62718, 1.62, 0.005, 1.825, 0.483451, idle
1.00891, 1.53392, 1.61875, 0.00599479, 1.90375, 0.481922, idle
1.01656, 1.1908, 1.61875, 0.00599479, 2.01875, 0.361609, idle
1.01656, 1.63325, 1.62, 0.005, 2.07, 0.383699, idle
1.01435, 0.922226, 1.6175, 0.00433013, 1.965, 0.455631, idle
1.0222, 0.806846, 1.62125, 0.0116592, 1.87625, 0.501197, idle
1.02976, 0.964365, 1.62625, 0.0172753, 1.9425, 0.427836, idle
1.0222, 2.241, 1.63, 0.0187083, 2.05875, 0.604492, idle
1.0222, 1.70159, 1.63375, 0.0193245, 2.0675, 0.609421, idle
1.0222, 2.18628, 1.63875, 0.0176334, 2.15625, 0.666876, idle
1.01366, 1.70605, 1.64, 0.0165831, 2.24125, 0.682155, idle
1.01617, 0.869138, 1.6425, 0.0147902, 2.11, 0.735952, idle
1.01218, 1.18157, 1.645, 0.01, 2.1625, 0.690593, idle
1.0222, 0.83, 1.645, 0.01, 2.14125, 0.718252, idle
1.02377, 0.936429, 1.64375, 0.00856957, 2.1075, 0.745885, idle
1.01971, 0.441135, 1.6425, 0.00829156, 1.77875, 0.749457, idle
1.01469, 0.997196, 1.64125, 0.00780625, 1.68375, 0.706557, idle
1.01617, 0.589067, 1.64, 0.00707107, 1.42875, 0.58678, idle
1.0222, 1.65605, 1.6425, 0.00661438, 1.4275, 0.584161, idle
1.01971, 0.84309, 1.6425, 0.00661438, 1.42, 0.585363, idle
1.01499, 2.17481, 1.64125, 0.00927025, 1.60375, 0.83242, idle
1.01435, 1.2744, 1.63625, 0.0131696, 1.68875, 0.816309, idle
1.01277, 1.64648, 1.63125, 0.0145237, 1.81375, 0.837286, idle
1.02259, 0.804487, 1.63, 0.0141421, 1.86625, 0.771361, idle
1.01656, 2.0969, 1.6275, 0.0139194, 1.98625, 0.806907, idle
1.01499, 1.53222, 1.625, 0.0132288, 2.1625, 0.681538, idle
1.01656, 1.63576, 1.62125, 0.00927025, 2.1275, 0.662528, idle
1.02039, 1.89193, 1.61875, 0.00599479, 2.3275, 0.622851, idle
1.01435, 1.42106, 1.6175, 0.00661438, 2.185, 0.530495, idle
1.01656, 0.926121, 1.61875, 0.00599479, 2.135, 0.578295, idle
1.01277, 1.85753, 1.61875, 0.00599479, 2.18625, 0.615588, idle
1.02039, 1.99805, 1.6175, 0.00433013, 2.40625, 0.461951, idle
1.01435, 1.43955, 1.61625, 0.00484123, 2.3575, 0.45524, idle
1.0222, 0.806846, 1.62, 0.0122474, 2.24125, 0.571696, idle
1.02976, 0.964365, 1.625, 0.0180278, 2.1525, 0.599265, idle
1.0222, 2.241, 1.62875, 0.0196453, 2.19625, 0.661758, idle
1.0222, 1.70159, 1.63375, 0.0193245, 2.24375, 0.663908, idle
1.0222, 2.18628, 1.6375, 0.0192029, 2.425, 0.612985, idle
1.01366, 1.70605, 1.64, 0.0165831, 2.4075, 0.603961, idle
1.01617, 0.869138, 1.6425, 0.0147902, 2.2275, 0.671021, idle
1.01218, 1.18157, 1.645, 0.01, 2.1625, 0.690593, idle
1.0222, 0.83, 1.645, 0.01, 2.14125, 0.718252, idle
1.02377, 0.936429, 1.64375, 0.00856957, 2.1075, 0.745885, idle
1.01971, 0.441135, 1.6425, 0.00829156, 1.77875, 0.749457, idle
1.01469, 0.997196, 1.64125, 0.00780625, 1.68375, 0.706557, idle
1.01617, 0.589067, 1.64, 0.00707107, 1.42875, 0.58678, idle
1.0222, 1.65605, 1.6425, 0.00661438, 1.4275, 0.584161, idle
1.01971, 0.84309, 1.6425, 0.00661438, 1.42, 0.585363, idle
1.01435, 2.37068, 1.64, 0.0122474, 1.63, 0.884053, idle
